feature	coefficient	abs_coefficient
is_proto_top1	2.4397675061218855	2.4397675061218855
proto_prob	1.73265192255272	1.73265192255272
proto_margin_to_top1	-1.713850451745523	1.713850451745523
proto_dist	-1.7137448569825147	1.7137448569825147
family_count_proxy	0.97182956382328	0.97182956382328
proto_rank	-0.5055259869085905	0.5055259869085905
proto_margin_top2_minus_top1	0.3773134598546636	0.3773134598546636
hmm_rank	-0.14486211528323722	0.14486211528323722
hmm_score	0.0	0.0
hmm_bitscore	0.0	0.0
hmm_coverage	0.0	0.0
hmm_neglog_evalue	0.0	0.0
hmm_margin_to_top1	0.0	0.0
hmm_has_hit	0.0	0.0
hmm_margin_top1_minus_top2	0.0	0.0
is_hmm_top1	0.0	0.0
proto_top1_eq_hmm_top1	0.0	0.0
