model_type	threshold_mode	cluster	global_threshold	cluster_threshold_median	final_threshold	n_calibration_mean	positive_calibration_mean	negative_calibration_mean	pos_rate_mean	global_precision_mean	guarded_use_fraction	use_cluster_threshold	selection_rule	shrinkage_k	source
mix	cluster-guarded	cluster_0	0.3731182815261044	0.37323138353413654	0.3731182815261044	4.9	4.9	0.0	1.0	1.0	0.4	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_1	0.3731182815261044	0.3738989076305221	0.3731182815261044	1.0	0.0	1.0	0.0	0.0	0.0	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_2	0.3731182815261044	0.37323138353413654	0.3731182815261044	2.2	2.2	0.0	1.0	1.0	0.0	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_8	0.3731182815261044	0.781615	0.3731182815261044	15.3	15.3	0.0	1.0	1.0	0.0	0	positive_only_accept_all_calibration	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_9	0.3731182815261044	0.37323138353413654	0.3731182815261044	2.4	2.4	0.0	1.0	1.0	0.0	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_11	0.3731182815261044	0.3731164979919678	0.3731182815261044	1.0	1.0	0.0	1.0	0.0	0.0	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_13	0.3731182815261044	0.373117313253012	0.3731182815261044	1.4285714285714286	1.4285714285714286	0.0	1.0	1.0	0.0	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_15	0.3731182815261044	0.378744	0.3731182815261044	32.4	32.4	0.0	1.0	1.0	0.4	0	positive_only_accept_all_calibration	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_16	0.3731182815261044	0.373345453815261	0.3731182815261044	1.1111111111111112	1.1111111111111112	0.0	1.0	1.0	0.0	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_19	0.3731182815261044	0.373345453815261	0.3731182815261044	1.0	1.0	0.0	1.0	1.0	0.0	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_21	0.3731182815261044	0.699452	0.5670056763459471	39.8	13.0	26.8	0.3272176897808504	0.9894736842105264	1.0	1	precision_ge_0.90_best_recall	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_22	0.3731182815261044	0.458133	0.4416251147831376	124.4	1.2	123.2	0.009868098295741876	0.8	0.8	1	negative_only_reject_all_calibration;precision_ge_0.90_best_recall	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_23	0.3731182815261044	0.3727159718875502	0.3731182815261044	1.2	0.0	1.2	0.0	0.0	0.0	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_24	0.3731182815261044	0.37323138353413654	0.3731182815261044	4.2	4.0	0.2	0.9333333333333333	1.0	0.2	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_25	0.3731182815261044	0.37323138353413654	0.3731182815261044	1.0	0.0	1.0	0.0	0.0	0.0	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_27	0.3731182815261044	0.37309138554216864	0.3731182815261044	1.4	1.0	0.4	0.8	0.8	0.0	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_28	0.3731182815261044	0.3727159718875502	0.3731182815261044	1.0	1.0	0.0	1.0	1.0	0.0	0	insufficient_n	30	protein\result\external_eval_cdhit90\generalization_threshold_mode_comparison\tables\mix_cluster_thresholds_by_split.tsv
