model_type	threshold_mode	cluster	global_threshold	cluster_threshold_median	final_threshold	n_calibration_mean	positive_calibration_mean	negative_calibration_mean	pos_rate_mean	global_precision_mean	guarded_use_fraction	use_cluster_threshold	selection_rule	shrinkage_k	source
mix	cluster-guarded	cluster_0	0.3732764164658634	0.617246	0.3732764164658634	182.4	134.0	48.4	0.7352823147002986	1.0	0.0	0	precision_ge_0.90_best_recall	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_1	0.3732764164658634	0.3722567831325301	0.3732764164658634	1.0	0.0	1.0	0.0	0.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_100	0.3732764164658634	0.37271002409638554	0.3732764164658634	1.0	0.0	1.0	0.0	0.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_102	0.3732764164658634	0.3724694939759036	0.3732764164658634	1.0	1.0	0.0	1.0	1.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_103	0.3732764164658634	0.37322928915662645	0.3732764164658634	3.1	0.2	2.9	0.03666666666666667	0.2	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_109	0.3732764164658634	0.37322928915662645	0.3732764164658634	4.1	2.9	1.2	0.7216666666666667	0.0	0.1	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_11	0.3732764164658634	0.371934859437751	0.3732764164658634	1.0	1.0	0.0	1.0	0.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_110	0.3732764164658634	0.37322928915662645	0.3732764164658634	8.4	0.0	8.4	0.0	0.0	0.4	0	insufficient_n;negative_only_reject_all_calibration	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_113	0.3732764164658634	0.3732577831325301	0.3732764164658634	1.0	0.6	0.4	0.6	0.6	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_114	0.3732764164658634	0.37448467469879515	0.3732764164658634	1.0	0.0	1.0	0.0	0.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_117	0.3732764164658634	0.37320079518072286	0.3732764164658634	4.111111111111111	0.0	4.111111111111111	0.0	0.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_118	0.3732764164658634	0.37322928915662645	0.3732764164658634	4.1	2.7	1.4	0.6571428571428571	0.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_119	0.3732764164658634	0.37322928915662645	0.3732764164658634	1.9	1.9	0.0	1.0	0.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_12	0.3732764164658634	0.37322928915662645	0.3732764164658634	3.2	3.2	0.0	1.0	1.0	0.1	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_122	0.3732764164658634	0.37448467469879515	0.3732764164658634	1.0	1.0	0.0	1.0	1.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_126	0.3732764164658634	0.3732577831325301	0.3732764164658634	2.3333333333333335	2.3333333333333335	0.0	1.0	0.2222222222222222	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_130	0.3732764164658634	0.3732577831325301	0.3732764164658634	2.2222222222222223	0.0	2.2222222222222223	0.0	0.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_132	0.3732764164658634	0.37320079518072286	0.3732764164658634	1.1428571428571428	1.1428571428571428	0.0	1.0	1.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_135	0.3732764164658634	0.37283514457831324	0.3732764164658634	3.0	1.25	1.75	0.4354166666666667	0.6458333333333334	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_136	0.3732764164658634	0.3724694939759036	0.3732764164658634	1.8	1.8	0.0	1.0	0.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_138	0.3732764164658634	0.32278399999999996	0.3732764164658634	19.5	0.0	19.5	0.0	0.0	0.0	0	negative_only_reject_all_calibration	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_139	0.3732764164658634	0.37322928915662645	0.3732764164658634	6.8	0.0	6.8	0.0	0.0	0.4	0	insufficient_n;negative_only_reject_all_calibration	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_14	0.3732764164658634	0.5954765	0.3732764164658634	44.1	44.1	0.0	1.0	1.0	0.0	0	positive_only_accept_all_calibration	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_141	0.3732764164658634	0.3722567831325301	0.3732764164658634	1.0	0.0	1.0	0.0	0.0	0.0	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_142	0.3732764164658634	0.37322928915662645	0.3732764164658634	3.2	0.0	3.2	0.0	0.0	0.2	0	insufficient_n	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
mix	cluster-guarded	cluster_144	0.3732764164658634	0.304467	0.3732764164658634	31.5	13.5	18.0	0.42977896904134394	0.0	0.0	0	precision_ge_0.90_best_recall	30	D:\pre_tran\database_collect\protein\result\result_new\tables\new_hmm_model_cluster_thresholds_by_split.tsv
