parent_label	sub_name	representative	count	is_split	strategy
0	cluster_0	apyc1	1175	False	latent_kmeans
1	cluster_1	aca10	6	False	latent_kmeans
2	cluster_2	AcrIC11	174	False	latent_kmeans
3	cluster_3	aca2	38	False	latent_kmeans
4	cluster_4	Prs_3	487	False	latent_kmeans
5	cluster_5	narp1_namat	240	False	latent_kmeans
6	cluster_6	hia5	281	False	latent_kmeans
7	cluster_7	narp2_nmnat	28	False	latent_kmeans
8	cluster_8	tad2	39	False	latent_kmeans
9	cluster_9	AcrID1	3	False	latent_kmeans
10	cluster_10__sub01	C6I012	59	True	latent_kmeans
10	cluster_10__sub02	A0A1G5JRB5	21	True	latent_kmeans
10	cluster_10__sub03	A0A6A9QVF6	45	True	latent_kmeans
10	cluster_10__sub04	A0A7X9SJR9	5	True	latent_kmeans
11	cluster_11	AcrIIC2	4	False	latent_kmeans
12	cluster_12	ardu	33	False	latent_kmeans
13	cluster_13	ugi	2	False	latent_kmeans
14	cluster_14	acb1	15	False	latent_kmeans
15	cluster_15	AcrIIA2	7	False	latent_kmeans
16	cluster_16	dmd	2	False	latent_kmeans
17	cluster_17	tad1	87	False	latent_kmeans
18	cluster_18	AcrIF3	6	False	latent_kmeans
19	cluster_19	AcrIIA13b	8	False	latent_kmeans
20	cluster_20	AcrVIA3	5	False	latent_kmeans
21	cluster_21	AcrIIA8	8	False	latent_kmeans
22	cluster_22	rad	6	False	latent_kmeans
23	cluster_23	AcrIA3	1	False	latent_kmeans
24	cluster_24	had1	1	False	latent_kmeans
25	cluster_25	gp5_9	1	False	latent_kmeans
26	cluster_26	ral	1	False	latent_kmeans
27	cluster_27	AcrIB4	1	False	latent_kmeans
28	cluster_28	gad1	1	False	latent_kmeans
29	cluster_29	gnarl2	1	False	latent_kmeans
30	cluster_30	AcrIB5	3	False	latent_kmeans
31	cluster_31	orba	1	False	latent_kmeans
32	cluster_32	aca12	12	False	latent_kmeans
33	cluster_33	AcrIIA22	1	False	latent_kmeans
34	cluster_34	AcrIIA28	1	False	latent_kmeans
35	cluster_35	mom	7	False	latent_kmeans
36	cluster_36	AcrIE8	6	False	latent_kmeans
37	cluster_37	dsad1	1	False	latent_kmeans
38	cluster_38	AcrIF17	1	False	latent_kmeans
39	cluster_39	aca8	1	False	latent_kmeans
40	cluster_40	ipii	1	False	latent_kmeans
