family_id	sample_count	threshold_strict	threshold_moderate	threshold_loose	strict_confidence	moderate_confidence	loose_confidence
cluster_0	1175	0.0628	0.0684	0.0983	confident(n=0)	confident(n=0)	confident(n=0)
cluster_181	493	0.0617	0.076	0.1342	confident(n=0)	confident(n=0)	confident(n=0)
cluster_4	487	0.0633	0.0753	0.1047	confident(n=0)	confident(n=0)	confident(n=0)
cluster_6	281	0.0419	0.0504	0.07	confident(n=0)	confident(n=0)	confident(n=0)
cluster_5	240	0.0334	0.038	0.0486	confident(n=0)	confident(n=0)	confident(n=0)
cluster_2	174	0.0618	0.1477	0.2069	confident(n=0)	confident(n=0)	confident(n=0)
cluster_10	130	0.0597	0.0753	0.0944	confident(n=0)	confident(n=0)	confident(n=0)
cluster_74	113	0.0346	0.0402	0.0561	confident(n=0)	confident(n=0)	confident(n=0)
cluster_183	100	0.0318	0.0396	0.097	confident(n=0)	confident(n=0)	confident(n=0)
cluster_131	98	0.0253	0.0289	0.0566	confident(n=0)	confident(n=0)	confident(n=0)
cluster_17	87	0.0311	0.0425	0.0758	confident(n=0)	confident(n=0)	confident(n=0)
cluster_197	85	0.0292	0.0343	0.0506	confident(n=0)	confident(n=0)	confident(n=0)
cluster_192	80	0.0214	0.0288	0.0506	confident(n=0)	confident(n=0)	confident(n=0)
cluster_182	62	0.0228	0.0254	0.0348	confident(n=0)	confident(n=0)	confident(n=0)
cluster_175	54	0.0194	0.0205	0.0342	confident(n=0)	confident(n=0)	confident(n=0)
cluster_187	53	0.036	0.0505	0.0675	confident(n=0)	confident(n=0)	confident(n=0)
cluster_196	49	0.0219	0.0285	0.0453	confident(n=0)	confident(n=0)	confident(n=0)
cluster_101	40	0.0412	0.0467	0.0604	confident(n=0)	confident(n=0)	confident(n=0)
cluster_8	39	0.0403	0.0616	0.0937	confident(n=0)	confident(n=0)	confident(n=0)
cluster_3	38	0.0581	0.0639	0.1191	confident(n=0)	confident(n=0)	confident(n=0)
cluster_12	33	0.0426	0.0527	0.1153	confident(n=0)	confident(n=0)	confident(n=0)
cluster_127	31	0.0267	0.0345	0.0653	confident(n=0)	confident(n=0)	confident(n=0)
cluster_103	30	0.016	0.0247	0.0303	confident(n=0)	confident(n=0)	confident(n=0)
cluster_7	28	0.0211	0.022	0.0249	confident(n=0)	confident(n=0)	confident(n=0)
cluster_123	27	0.0333	0.0384	0.0412	confident(n=0)	confident(n=0)	confident(n=0)
cluster_69	22	0.0425	0.0588	0.0685	confident(n=0)	confident(n=0)	confident(n=0)
cluster_208	18	0.0485	0.0727	0.1316	confident(n=0)	confident(n=0)	confident(n=0)
cluster_88	17	0.0435	0.0866	0.1924	confident(n=0)	confident(n=0)	confident(n=0)
cluster_202	15	0.0225	0.0255	0.028	confident(n=0)	confident(n=0)	confident(n=0)
cluster_14	15	0.0345	0.0428	0.0528	confident(n=0)	confident(n=0)	confident(n=0)
cluster_89	13	0.0153	0.0159	0.016	confident(n=0)	confident(n=0)	confident(n=0)
cluster_145	13	0.0179	0.0227	0.0281	confident(n=0)	confident(n=0)	confident(n=0)
cluster_32	12	0.0209	0.0293	0.0375	confident(n=0)	confident(n=0)	confident(n=0)
cluster_72	12	0.04	0.0415	0.0422	confident(n=0)	confident(n=0)	confident(n=0)
cluster_95	11	0.0656	0.0659	0.0662	confident(n=0)	confident(n=0)	confident(n=0)
cluster_77	11	0.0348	0.0356	0.0363	confident(n=0)	confident(n=0)	confident(n=0)
