feature	coefficient	abs_coefficient
is_proto_top1	2.90403542083146	2.90403542083146
proto_margin_to_top1	-1.6749679934085793	1.6749679934085793
proto_dist	-1.6253790590738624	1.6253790590738624
proto_prob	1.5656560909944455	1.5656560909944455
proto_margin_top2_minus_top1	0.5330167050626061	0.5330167050626061
proto_rank	-0.4932577820545116	0.4932577820545116
family_count_proxy	0.19609817814528693	0.19609817814528693
hmm_rank	0.05217371606488192	0.05217371606488192
hmm_score	0.0	0.0
hmm_bitscore	0.0	0.0
hmm_coverage	0.0	0.0
hmm_neglog_evalue	0.0	0.0
hmm_margin_to_top1	0.0	0.0
hmm_has_hit	0.0	0.0
hmm_margin_top1_minus_top2	0.0	0.0
is_hmm_top1	0.0	0.0
proto_top1_eq_hmm_top1	0.0	0.0
