family_id	sample_count	threshold_strict	threshold_moderate	threshold_loose
cluster_0	1175	0.0921	0.0976	0.1269
cluster_182	491	0.075	0.097	0.1363
cluster_4	487	0.0933	0.1136	0.1864
cluster_5	240	0.0381	0.0492	0.0637
cluster_10	194	0.042	0.0474	0.0541
cluster_184	194	0.0116	0.014	0.0263
cluster_2	167	0.0607	0.1763	0.8871
cluster_75	113	0.0324	0.0409	0.0685
cluster_11	112	0.28	0.4103	0.4103
cluster_186	100	0.0163	0.0195	0.0291
cluster_132	98	0.0209	0.0233	0.0299
cluster_6	87	0.024	0.0335	0.0617
cluster_200	85	0.0234	0.0311	0.0419
cluster_195	80	0.0189	0.0215	0.0591
cluster_18	74	0.2777	0.3587	0.3587
cluster_185	62	0.0166	0.0187	0.0255
cluster_176	54	0.0177	0.0206	0.0328
cluster_199	49	0.0146	0.0205	0.0247
cluster_190	46	0.1655	0.2139	0.2321
cluster_8	39	0.0271	0.0507	0.0868
cluster_3	38	0.0821	0.1043	0.3435
cluster_13	33	0.0162	0.0221	0.0498
cluster_102	33	0.1329	0.1751	0.1751
cluster_128	31	0.027	0.032	0.0448
cluster_104	30	0.0081	0.0136	0.0172
cluster_124	29	0.1206	0.1396	0.1449
cluster_7	28	0.0233	0.0261	0.0274
cluster_70	20	0.1872	0.1957	0.2562
cluster_78	19	0.1494	0.1667	0.1667
cluster_89	16	0.0344	0.0352	0.0363
cluster_205	15	0.0204	0.0247	0.0276
cluster_15	15	0.0367	0.0428	0.0441
cluster_90	13	0.0079	0.0092	0.0105
cluster_146	13	0.0152	0.0161	0.0166
cluster_73	12	0.0562	0.0595	0.0607
cluster_33	12	0.0385	0.0475	0.0547
cluster_96	11	0.1047	0.2372	0.3432
cluster_188	10	0.1333	0.159	0.1607
cluster_178	9	0.0936	0.1027	0.11
cluster_166	8	0.2055	0.2508	0.2508
cluster_163	8	0.0993	0.1315	0.1574
cluster_109	8	0.1386	0.1804	0.1804
cluster_20	8	0.1116	0.1128	0.1137
cluster_22	8	0.063	0.0681	0.0722
cluster_131	8	0.1665	0.1796	0.1901
cluster_36	7	0.0283	0.0314	0.0338
cluster_16	7	0.0929	0.1048	0.1143
cluster_21	6	0.1063	0.1255	0.1409
cluster_92	6	0.1648	0.1688	0.172
cluster_19	6	0.1497	0.1784	0.1784
cluster_59	6	0.3038	0.3038	0.3039
cluster_23	6	0.0772	0.0807	0.0835
cluster_37	6	0.1001	0.1039	0.107
cluster_67	6	0.1693	0.1788	0.1864
cluster_1	6	0.1139	0.12	0.1248
cluster_127	5	0.0882	0.0948	0.1001
cluster_38	5	0.3194	0.3303	0.3303
cluster_165	5	0.1155	0.1198	0.1232
cluster_94	5	0.6882	0.7073	0.7073
cluster_98	5	0.0456	0.0494	0.0524
cluster_12	5	0.2057	0.2075	0.2089
cluster_108	5	0.0805	0.0839	0.0866
cluster_115	5	0.1067	0.1068	0.1068
cluster_85	5	0.0774	0.0782	0.0789
cluster_114	4	0.2991	0.3202	0.3202
cluster_135	4	0.121	0.1281	0.1338
cluster_157	4	0.242	0.2928	0.2928
cluster_56	4	0.0301	0.0321	0.0337
cluster_97	4	0.0935	0.0949	0.0961
cluster_187	4	0.1834	0.1909	0.1969
cluster_150	4	0.1648	0.1689	0.1722
cluster_61	4	0.1034	0.1164	0.1267
cluster_31	3	0.0163	0.0168	0.0172
cluster_177	3	0.135	0.1468	0.1562
cluster_152	3	0.0649	0.0666	0.068
cluster_151	3	0.0103	0.0112	0.0118
cluster_49	3	0.1249	0.135	0.1431
cluster_191	3	0.0684	0.0736	0.0777
cluster_210	3	0.2263	0.2328	0.2328
cluster_9	3	0.2004	0.2031	0.2052
cluster_51	3	0.1202	0.1336	0.1336
cluster_129	3	0.0078	0.0084	0.0088
cluster_193	3	0.1439	0.1476	0.1505
cluster_45	3	0.0269	0.027	0.0271
cluster_209	2	0.0109	0.0109	0.0109
cluster_34	2	0.4207	0.4441	0.4576
cluster_160	2	0.0206	0.0206	0.0206
cluster_134	2	0.1013	0.1023	0.103
cluster_141	2	0.0043	0.0043	0.0043
cluster_29	2	0.1374	0.1451	0.1512
cluster_169	2	0.0275	0.0275	0.0275
cluster_161	2	0.2649	0.2796	0.2914
cluster_65	2	0.6265	0.6613	0.6613
cluster_183	2	0.2341	0.2472	0.2472
cluster_57	2	0.2828	0.2985	0.3111
cluster_79	2	0.0008	0.0008	0.0008
cluster_44	2	0.0816	0.0862	0.0898
cluster_68	2	0.1947	0.2055	0.2142
cluster_17	2	0.093	0.093	0.093
cluster_14	2	0.0969	0.0969	0.0969
cluster_58	2	0.0913	0.0913	0.0913
cluster_95	2	0.0602	0.0636	0.0663
cluster_156	2	0.0178	0.0178	0.0178
cluster_117	2	0.0397	0.0397	0.0398
cluster_120	2	0.0275	0.0275	0.0275
cluster_133	2	0.0048	0.0048	0.0048
cluster_167	2	0.3972	0.4192	0.4369
cluster_86	2	0.1951	0.2059	0.2146
cluster_194	1	0.0	0.0	0.0
cluster_196	1	0.0	0.0	0.0
cluster_206	1	0.0	0.0	0.0
cluster_197	1	0.0	0.0	0.0
cluster_144	1	0.3934	0.3934	0.3934
cluster_24	1	0.0	0.0	0.0
cluster_173	1	0.0	0.0	0.0
cluster_46	1	0.0	0.0	0.0
cluster_175	1	0.0	0.0	0.0
cluster_69	1	0.0	0.0	0.0
