family_id	sample_count	threshold_strict	threshold_moderate	threshold_loose	strict_confidence	moderate_confidence	loose_confidence
cluster_0	1175	0.0822	0.0976	0.1224	confident(n=0)	confident(n=0)	confident(n=0)
cluster_181	493	0.0782	0.0963	0.1461	confident(n=0)	confident(n=0)	confident(n=0)
cluster_4	487	0.0768	0.0874	0.1168	confident(n=0)	confident(n=0)	confident(n=0)
cluster_6	281	0.0627	0.0733	0.0955	confident(n=0)	confident(n=0)	confident(n=0)
cluster_5	240	0.0453	0.0501	0.0622	confident(n=0)	confident(n=0)	confident(n=0)
cluster_2	174	0.0486	0.0556	0.0876	confident(n=0)	confident(n=0)	confident(n=0)
cluster_10	130	0.0317	0.0464	0.1067	confident(n=0)	confident(n=0)	confident(n=0)
cluster_74	113	0.0495	0.0754	0.0826	confident(n=0)	confident(n=0)	confident(n=0)
cluster_183	100	0.0537	0.0649	0.1768	confident(n=0)	confident(n=0)	confident(n=0)
cluster_131	98	0.0331	0.0422	0.0791	confident(n=0)	confident(n=0)	confident(n=0)
cluster_17	87	0.0333	0.0444	0.0865	confident(n=0)	confident(n=0)	confident(n=0)
cluster_197	85	0.0361	0.0397	0.0463	confident(n=0)	confident(n=0)	confident(n=0)
cluster_192	80	0.0353	0.0484	0.0646	confident(n=0)	confident(n=0)	confident(n=0)
cluster_182	62	0.0497	0.0541	0.0890	confident(n=0)	confident(n=0)	confident(n=0)
cluster_175	54	0.0351	0.0478	0.0894	confident(n=0)	confident(n=0)	confident(n=0)
cluster_187	53	0.0217	0.0267	0.0339	confident(n=0)	confident(n=0)	confident(n=0)
cluster_196	49	0.0297	0.0374	0.0626	confident(n=0)	confident(n=0)	confident(n=0)
cluster_101	40	0.0148	0.0160	0.0259	confident(n=0)	confident(n=0)	confident(n=0)
cluster_8	39	0.0532	0.0567	0.1041	confident(n=0)	confident(n=0)	confident(n=0)
cluster_3	38	0.0521	0.0674	0.0763	confident(n=0)	confident(n=0)	confident(n=0)
cluster_12	33	0.0674	0.0712	0.2355	confident(n=0)	confident(n=0)	confident(n=0)
cluster_127	31	0.0452	0.0615	0.1419	confident(n=0)	confident(n=0)	confident(n=0)
cluster_103	30	0.0349	0.0513	0.0637	confident(n=0)	confident(n=0)	confident(n=0)
cluster_7	28	0.0308	0.0346	0.0367	confident(n=0)	confident(n=0)	confident(n=0)
cluster_123	27	0.0204	0.0241	0.0348	confident(n=0)	confident(n=0)	confident(n=0)
cluster_69	22	0.0320	0.0377	0.0433	confident(n=0)	confident(n=0)	confident(n=0)
cluster_208	18	0.0389	0.0557	0.0779	confident(n=0)	confident(n=0)	confident(n=0)
cluster_88	17	0.0550	0.0895	0.1288	confident(n=0)	confident(n=0)	confident(n=0)
cluster_14	15	0.0498	0.0625	0.0849	confident(n=0)	confident(n=0)	confident(n=0)
cluster_202	15	0.0277	0.0315	0.0367	confident(n=0)	confident(n=0)	confident(n=0)
cluster_145	13	0.0311	0.0367	0.0429	confident(n=0)	confident(n=0)	confident(n=0)
cluster_89	13	0.0243	0.0245	0.0246	confident(n=0)	confident(n=0)	confident(n=0)
cluster_32	12	0.0165	0.0226	0.0285	confident(n=0)	confident(n=0)	confident(n=0)
cluster_72	12	0.0172	0.0175	0.0177	confident(n=0)	confident(n=0)	confident(n=0)
cluster_77	11	0.0170	0.0250	0.0314	confident(n=0)	confident(n=0)	confident(n=0)
cluster_95	11	0.0309	0.0445	0.0553	confident(n=0)	confident(n=0)	confident(n=0)
cluster_177	9	0.0573	0.0590	0.0603	confident(n=0)	confident(n=0)	confident(n=0)
cluster_162	8	0.0664	0.0921	0.1126	confident(n=0)	confident(n=0)	confident(n=0)
cluster_19	8	0.0443	0.0443	0.0443	confident(n=0)	confident(n=0)	confident(n=0)
cluster_21	8	0.0813	0.0853	0.0885	confident(n=0)	confident(n=0)	confident(n=0)
cluster_15	7	0.0194	0.0196	0.0197	confident(n=0)	confident(n=0)	confident(n=0)
cluster_35	7	0.0648	0.0733	0.0800	confident(n=0)	confident(n=0)	confident(n=0)
cluster_1	6	0.1254	0.1305	0.1345	confident(n=0)	confident(n=0)	confident(n=0)
cluster_130	6	0.0621	0.0713	0.0787	confident(n=0)	confident(n=0)	confident(n=0)
cluster_164	6	0.0537	0.0602	0.0655	confident(n=0)	confident(n=0)	confident(n=0)
cluster_18	6	0.0216	0.0224	0.0230	confident(n=0)	confident(n=0)	confident(n=0)
cluster_22	6	0.0515	0.0517	0.0518	confident(n=0)	confident(n=0)	confident(n=0)
cluster_36	6	0.0602	0.0772	0.0908	confident(n=0)	confident(n=0)	confident(n=0)
cluster_66	6	0.0375	0.0396	0.0413	confident(n=0)	confident(n=0)	confident(n=0)
cluster_107	5	0.0572	0.0599	0.0620	confident(n=0)	confident(n=0)	confident(n=0)
cluster_114	5	0.0299	0.0302	0.0305	confident(n=0)	confident(n=0)	confident(n=0)
cluster_126	5	0.0313	0.0329	0.0342	confident(n=0)	confident(n=0)	confident(n=0)
cluster_134	5	0.0321	0.0327	0.0331	confident(n=0)	confident(n=0)	confident(n=0)
cluster_143	5	0.0891	0.0994	0.1077	confident(n=0)	confident(n=0)	confident(n=0)
cluster_165	5	0.0397	0.0458	0.0507	confident(n=0)	confident(n=0)	confident(n=0)
cluster_20	5	0.0301	0.0305	0.0308	confident(n=0)	confident(n=0)	confident(n=0)
cluster_60	5	0.1380	0.1714	0.1981	confident(n=0)	confident(n=0)	confident(n=0)
cluster_97	5	0.0158	0.0161	0.0163	confident(n=0)	confident(n=0)	confident(n=0)
cluster_11	4	0.0334	0.0368	0.0394	confident(n=0)	confident(n=0)	confident(n=0)
cluster_139	4	0.1802	0.2046	0.2241	confident(n=0)	confident(n=0)	confident(n=0)
cluster_185	4	0.0439	0.0484	0.0521	confident(n=0)	confident(n=0)	confident(n=0)
cluster_55	4	0.0142	0.0152	0.0160	confident(n=0)	confident(n=0)	confident(n=0)
cluster_58	4	0.2103	0.2185	0.2251	confident(n=0)	confident(n=0)	confident(n=0)
cluster_116	3	0.0261	0.0270	0.0277	confident(n=0)	confident(n=0)	confident(n=0)
cluster_128	3	0.0027	0.0030	0.0032	confident(n=0)	confident(n=0)	confident(n=0)
