feature	coefficient	abs_coefficient
is_proto_top1	2.7637614719342634	2.7637614719342634
proto_prob	1.835421425752377	1.835421425752377
proto_margin_to_top1	-1.7188913519072873	1.7188913519072873
proto_dist	-1.6917800802701073	1.6917800802701073
proto_margin_top2_minus_top1	0.7803815228826324	0.7803815228826324
family_count_proxy	0.32128366953553783	0.32128366953553783
proto_rank	-0.17172119984620268	0.17172119984620268
hmm_rank	-0.033534861746767106	0.033534861746767106
hmm_score	0.0	0.0
hmm_bitscore	0.0	0.0
hmm_coverage	0.0	0.0
hmm_neglog_evalue	0.0	0.0
hmm_margin_to_top1	0.0	0.0
hmm_has_hit	0.0	0.0
hmm_margin_top1_minus_top2	0.0	0.0
is_hmm_top1	0.0	0.0
proto_top1_eq_hmm_top1	0.0	0.0
