family_id	sample_count	threshold_strict	threshold_moderate	threshold_loose	strict_confidence	moderate_confidence	loose_confidence
cluster_0	1175	0.0454	0.0494	0.0565	confident(n=0)	confident(n=0)	confident(n=0)
cluster_181	493	0.0512	0.0563	0.0983	confident(n=0)	confident(n=0)	confident(n=0)
cluster_4	487	0.0625	0.0753	0.1113	confident(n=0)	confident(n=0)	confident(n=0)
cluster_6	281	0.0394	0.0446	0.069	confident(n=0)	confident(n=0)	confident(n=0)
cluster_5	240	0.037	0.0425	0.0547	confident(n=0)	confident(n=0)	confident(n=0)
cluster_2	174	0.0279	0.1409	0.1607	confident(n=0)	confident(n=0)	confident(n=0)
cluster_10	130	0.0759	0.0919	0.149	confident(n=0)	confident(n=0)	confident(n=0)
cluster_74	113	0.0298	0.0345	0.0458	confident(n=0)	confident(n=0)	confident(n=0)
cluster_183	100	0.0295	0.0363	0.0556	confident(n=0)	confident(n=0)	confident(n=0)
cluster_131	98	0.0189	0.024	0.0318	confident(n=0)	confident(n=0)	confident(n=0)
cluster_17	87	0.0576	0.0973	0.1473	confident(n=0)	confident(n=0)	confident(n=0)
cluster_197	85	0.0231	0.03	0.0387	confident(n=0)	confident(n=0)	confident(n=0)
cluster_192	80	0.0138	0.0177	0.0447	confident(n=0)	confident(n=0)	confident(n=0)
cluster_182	62	0.0244	0.0261	0.0329	confident(n=0)	confident(n=0)	confident(n=0)
cluster_175	54	0.0164	0.0206	0.0255	confident(n=0)	confident(n=0)	confident(n=0)
cluster_187	53	0.0398	0.0456	0.0711	confident(n=0)	confident(n=0)	confident(n=0)
cluster_196	49	0.0149	0.0203	0.0241	confident(n=0)	confident(n=0)	confident(n=0)
cluster_101	40	0.0249	0.034	0.0709	confident(n=0)	confident(n=0)	confident(n=0)
cluster_8	39	0.0247	0.0495	0.0699	confident(n=0)	confident(n=0)	confident(n=0)
cluster_3	38	0.0493	0.0536	0.1139	confident(n=0)	confident(n=0)	confident(n=0)
cluster_12	33	0.0207	0.0265	0.0588	confident(n=0)	confident(n=0)	confident(n=0)
cluster_127	31	0.0222	0.0342	0.0413	confident(n=0)	confident(n=0)	confident(n=0)
cluster_103	30	0.0079	0.011	0.0155	confident(n=0)	confident(n=0)	confident(n=0)
cluster_7	28	0.012	0.013	0.0133	confident(n=0)	confident(n=0)	confident(n=0)
cluster_123	27	0.0218	0.0336	0.0377	confident(n=0)	confident(n=0)	confident(n=0)
cluster_69	22	0.0298	0.0557	0.0638	confident(n=0)	confident(n=0)	confident(n=0)
cluster_208	18	0.0612	0.0851	0.1592	confident(n=0)	confident(n=0)	confident(n=0)
cluster_88	17	0.0365	0.0821	0.2243	confident(n=0)	confident(n=0)	confident(n=0)
cluster_202	15	0.0161	0.0182	0.0188	confident(n=0)	confident(n=0)	confident(n=0)
cluster_14	15	0.0255	0.0301	0.0311	confident(n=0)	confident(n=0)	confident(n=0)
cluster_89	13	0.0076	0.0084	0.0093	confident(n=0)	confident(n=0)	confident(n=0)
cluster_145	13	0.0114	0.0128	0.014	confident(n=0)	confident(n=0)	confident(n=0)
cluster_32	12	0.0166	0.0188	0.0205	confident(n=0)	confident(n=0)	confident(n=0)
cluster_72	12	0.0312	0.0327	0.0336	confident(n=0)	confident(n=0)	confident(n=0)
cluster_95	11	0.0246	0.0422	0.0563	confident(n=0)	confident(n=0)	confident(n=0)
cluster_77	11	0.0308	0.0399	0.0471	confident(n=0)	confident(n=0)	confident(n=0)
