feature	coefficient	abs_coefficient
is_proto_top1	2.955956251496823	2.955956251496823
proto_prob	1.765806190814753	1.765806190814753
proto_margin_to_top1	-1.6856257783378317	1.6856257783378317
proto_dist	-1.6415164594833773	1.6415164594833773
proto_margin_top2_minus_top1	0.8660831596863942	0.8660831596863942
family_count_proxy	0.4345181481965541	0.4345181481965541
proto_rank	-0.33626164617949467	0.33626164617949467
hmm_rank	-0.05787257038845693	0.05787257038845693
hmm_score	0.0	0.0
hmm_bitscore	0.0	0.0
hmm_coverage	0.0	0.0
hmm_neglog_evalue	0.0	0.0
hmm_margin_to_top1	0.0	0.0
hmm_has_hit	0.0	0.0
hmm_margin_top1_minus_top2	0.0	0.0
is_hmm_top1	0.0	0.0
proto_top1_eq_hmm_top1	0.0	0.0
