Cluster	rep_name	Against/Function
Cluster_0	apyc1	Pycsar;Pycsa;HYDROLASE;Putative Ribonuclease;metallo-beta-lactamase;RNA BINDING PROTEIN;METAL BINDING PROTEIN;Unknown
Cluster_1	aca10	CRISPR-Cas - Type I-C, I-E;CRISPR-Cas - Type I-E, I-F;CRISPR-Cas - Type II-C;CRISPR-Cas - Type I-F;CRISPR-Cas - Type I-F, I-E
Cluster_2	AcrIC11	CRISPR-Cas - Type I-C;HYDROLASE INHIBITOR;RM;CRISPR-Cas Type I-C
Cluster_3	aca2	CRISPR-Cas - Type I-F, II-C;CRISPR-Cas;unknown function
Cluster_4	Prs_3	NADP;REGULATORY PROTEIN;TRANSFERASE
Cluster_5	narp1_namat	NADP;TRANSFERASE;NAD
Cluster_6	hia5	RM;TRANSFERASE;RM - Type II;DNA adenine methylase;Type II methyltransferase M1.DpnII
Cluster_7	narp2_nmnat	NADP;NADP/ADPRP
Cluster_8	tad2	Thoeris;CBASS;CRISPR-Cas - Type II-A
Cluster_9	AcrID1	CRISPR-Cas - Type I-D;Unknown
Cluster_10	AcrIII_1	CRISPR-Cas - Type Any utilising cA4 as a second messenger;a highly conserved protein(unknown function);DNA Binding Protein
Cluster_11	AcrIIC2	CRISPR-Cas - Type II-C
Cluster_12	ardu	RM;REPLICATION INHIBITOR
Cluster_13	ugi	DNA repair;RM
Cluster_14	acb1	CBASS
Cluster_15	AcrIIA2	CRISPR-Cas - Type II-A
Cluster_16	dmd	TA;histone deacetylase
Cluster_17	tad1	Thoeris;CBASS;VIRAL PROTEIN
Cluster_18	AcrIF3	CRISPR-Cas - Type I-F;CRISPR-Cas
Cluster_19	AcrIIA13b	CRISPR-Cas - Type II-A
Cluster_20	AcrVIA3	CRISPR-Cas - Type VI-A
Cluster_21	AcrIIA8	CRISPR-Cas - Type II-A
Cluster_22	rad	Retron
Cluster_23	AcrIA3	CRISPR-Cas - Type I-A
Cluster_24	had1	Hachiman
Cluster_25	gp5_9	RecBCD
Cluster_26	ral	RM - Type I
Cluster_27	AcrIB4	CRISPR-Cas - Type I-B
Cluster_28	gad1	Gabjia
Cluster_29	gnarl2	O-antigen-based barrier
Cluster_30	AcrIB5	CRISPR-Cas - Type I-B
Cluster_31	orba	BREX
Cluster_32	aca12	CRISPR-Cas - Type II-A
Cluster_33	AcrIIA22	CRISPR-Cas - Type II-A
Cluster_34	AcrIIA28	CRISPR-Cas - Type II-A
Cluster_35	mom	RM
Cluster_36	AcrIE8	CRISPR-Cas - Type I-E
Cluster_37	dsad1	DSR2
Cluster_38	AcrIF17	CRISPR-Cas - Type I-F
Cluster_39	aca8	CRISPR-Cas - Type I-D
Cluster_40	ipii	RM
Cluster_41	AcrIIA27	CRISPR-Cas - Type II-A
Cluster_42	AcrIE4	CRISPR-Cas - Type I-E
Cluster_43	ipi	RM
Cluster_44	AcrVIA7	CRISPR-Cas - Type VI-A
Cluster_45	AcrIC9	CRISPR-Cas - Type I-C
Cluster_46	adnd_p0021	Dnd
Cluster_47	AcrIIA15	CRISPR-Cas - Type II-A
Cluster_48	AcrIF4	CRISPR-Cas - Type I-F
Cluster_49	AcrIIA19	CRISPR-Cas - Type II-A
Cluster_50	AcrIIIB1	CRISPR-Cas - Type III-B
Cluster_51	AcrIIC6	CRISPR-Cas - Type II-C
