ADS_name	Against/Function
abc1	RecBCD
abc2	RecBCD
aca1	CRISPR-Cas - Type I-E, I-F
aca10	CRISPR-Cas - Type I-C, I-E
aca11	CRISPR-Cas - Type II-A
aca12	CRISPR-Cas - Type II-A
aca13	CRISPR-Cas - Type II-A
aca2	CRISPR-Cas - Type I-F, II-C
aca3	CRISPR-Cas - Type II-C
aca4	CRISPR-Cas - Type I-F
aca5	CRISPR-Cas - Type I-F
aca6	CRISPR-Cas - Type I-F
aca7	CRISPR-Cas - Type I-F
aca8	CRISPR-Cas - Type I-D
aca9	CRISPR-Cas - Type I-F, I-E
acb1	CBASS
acb2	CBASS
AcrVIA1_Lse	CRISPR-Cas - Type VI-A
acrx	CRISPR
adfa	DarTG
adnd_p0020	Dnd
adnd_p0021	Dnd
alt	TA - MazEF
apyc1	Pycsar
arda	RM
ardb	RM; CRISPR-Cas Type I-C
ardc	RM
ardk	RM
ardr	RM
ardu	RM
arn	RM
atd1	TIR/STING
dam	RM - Type II; DNA adenine methylase
dara	RM - Type I
darb	RM - Type I
ddra	RM
ddrb	RM
dmd	TA
dsad1	DSR2
gad1	Gabjia
gad2	Gabija
gam	RecBCD
gnarl1	O-antigen-based barrier
gnarl2	O-antigen-based barrier
gnarl3	O-antigen-based barrier
gp4_5	TA - sanaTA
gp5_9	RecBCD
had1	Hachiman
hdf	RM
hia5	RM
hin1523	RM
ipi	RM
ipii	RM
klca	RM
lar	RM
mom	RM
narp1_adps	NADP
narp1_namat	NADP
narp2_nampt	NADP
narp2_nmnat	NADP
nma1821	RM
ntase	CBASS/CRISPR-III
ocr	RM - Type I EcoKI; BREX
orba	BREX
orf126	Broad-spectrum
orf148	Broad-spectrum
psib	SOS stress response
psia	SOS stress response
racc	Retron-Sen2
rad	Retron
ral	RM - Type I
rexb	TA - Phd-Doc; TA - MazEF
samase	RM; BREX
stp	RM
tad1	Thoeris; CBASS
tad2	Thoeris; CBASS
tifa	TA
ugi	DNA repair
ulx	RM
vcrx089	RM
vcrx090	RM
vcrx091	CRISPR-Cas; DNA repair
vcrx092	CRISPR-Cas; DNA repair
vcrx093	CRISPR-Cas; DNA repair
AcrIA	CRISPR-Cas - Type I-A
AcrIA1	CRISPR-Cas - Type I-A
AcrIA3	CRISPR-Cas - Type I-A
AcrIB1	CRISPR-Cas - Type I-B
AcrIB2	CRISPR-Cas - Type I-B
AcrIB3	CRISPR-Cas - Type I-B
AcrIB4	CRISPR-Cas - Type I-B
AcrIB5	CRISPR-Cas - Type I-B
AcrIB6	CRISPR-Cas - Type I-B
AcrIB7	CRISPR-Cas - Type I-B
AcrIB8	CRISPR-Cas - Type I-B
AcrIB9	CRISPR-Cas - Type I-B
AcrIC1	CRISPR-Cas - Type I-C
AcrIF2_IC2	CRISPR-Cas - Type I-C, I-F
AcrIC3	CRISPR-Cas - Type I-C
AcrIC4	CRISPR-Cas - Type I-C
AcrIC5	CRISPR-Cas - Type I-C
AcrIC6	CRISPR-Cas - Type I-C, I-E
AcrIC7	CRISPR-Cas - Type I-C, I-E
AcrIC8	CRISPR-Cas - Type I-C, I-E
AcrIC9	CRISPR-Cas - Type I-C
AcrIC10	CRISPR-Cas - Type I-C
AcrIC11	CRISPR-Cas - Type I-C
AcrID1	CRISPR-Cas - Type I-D
AcrIE1	CRISPR-Cas - Type I-E
AcrIE2	CRISPR-Cas - Type I-E
AcrIE3	CRISPR-Cas - Type I-E
AcrIE4	CRISPR-Cas - Type I-E
AcrIE5	CRISPR-Cas - Type I-E
AcrIE6	CRISPR-Cas - Type I-E
AcrIE7	CRISPR-Cas - Type I-E
AcrIE4_IF7	CRISPR-Cas - Type I-E/I-F
AcrIE8	CRISPR-Cas - Type I-E
AcrIE9	CRISPR-Cas - Type I-E
AcrIE10	CRISPR-Cas - Type I-E
AcrIF1	CRISPR-Cas - Type I-F
AcrIF2	CRISPR-Cas - Type I-F
AcrIF3	CRISPR-Cas - Type I-F
AcrIF4	CRISPR-Cas - Type I-F
AcrIF5	CRISPR-Cas - Type I-F
AcrIF6	CRISPR-Cas - Type I-F/I-E
AcrIF7	CRISPR-Cas - Type I-F
AcrIF8	CRISPR-Cas - Type I-F
AcrIF9	CRISPR-Cas - Type I-F
AcrIF10	CRISPR-Cas - Type I-F
AcrIF11	CRISPR-Cas - Type I-F
AcrIF12	CRISPR-Cas - Type I-F
AcrIF13	CRISPR-Cas - Type I-F
AcrIF14	CRISPR-Cas - Type I-F
AcrIF15	CRISPR-Cas - Type I-F
AcrIF16	CRISPR-Cas - Type I-F
AcrIF17	CRISPR-Cas - Type I-F
AcrIF18	CRISPR-Cas - Type I-F/I-E
AcrIF19	CRISPR-Cas - Type I-F
AcrIF20	CRISPR-Cas - Type I-F
AcrIF21	CRISPR-Cas - Type I-F
AcrIF22	CRISPR-Cas - Type I-F/I-E
AcrIF23	CRISPR-Cas - Type I-F
AcrIF24	CRISPR-Cas - Type I-F
AcrIF25	CRISPR-Cas - Type I-F
AcrIIA1	CRISPR-Cas - Type II-A
AcrIIA2	CRISPR-Cas - Type II-A
AcrIIA3	CRISPR-Cas - Type II-A
AcrIIA4	CRISPR-Cas - Type II-A
AcrIIA5	CRISPR-Cas - Type II-A
AcrIIA6	CRISPR-Cas - Type II-A
AcrIIA7	CRISPR-Cas - Type II-A
AcrIIA8	CRISPR-Cas - Type II-A
AcrIIA9	CRISPR-Cas - Type II-A
AcrIIA10	CRISPR-Cas - Type II-A
AcrIIA11	CRISPR-Cas - Type II-A
AcrIIA12	CRISPR-Cas - Type II-A
AcrIIA13	CRISPR-Cas - Type II-A
AcrIIA14	CRISPR-Cas - Type II-A
AcrIIA15	CRISPR-Cas - Type II-A
AcrIIA16	CRISPR-Cas - Type II-A
AcrIIA17	CRISPR-Cas - Type II-A
AcrIIA18	CRISPR-Cas - Type II-A
AcrIIA19	CRISPR-Cas - Type II-A
AcrIIA20	CRISPR-Cas - Type II-A
AcrIIA21	CRISPR-Cas - Type II-A
AcrIIA22	CRISPR-Cas - Type II-A
AcrIIA23	CRISPR-Cas - Type II-A
AcrIIA24	CRISPR-Cas - Type II-A
AcrIIA25	CRISPR-Cas - Type II-A
AcrIIA26	CRISPR-Cas - Type II-A
AcrIIA27	CRISPR-Cas - Type II-A
AcrIIA28	CRISPR-Cas - Type II-A
AcrIIA29	CRISPR-Cas - Type II-A
AcrIIA30	CRISPR-Cas - Type II-A
AcrIIA31	CRISPR-Cas - Type II-A
AcrIIA32	CRISPR-Cas - Type II-A
AcrIIA33	CRISPR-Cas - Type II-A
AcrIIA33_Seq	CRISPR-Cas - Type II-A
AcrIIA34	CRISPR-Cas - Type II-A
AcrIIC1	CRISPR-Cas - Type II-C
AcrIIC2	CRISPR-Cas - Type II-C
AcrIIC3	CRISPR-Cas - Type II-C
AcrIIC4	CRISPR-Cas - Type II-C
AcrIIC5	CRISPR-Cas - Type II-C
AcrIIC6	CRISPR-Cas - Type II-C
AcrIIC7	CRISPR-Cas - Type II-C
AcrIIC8	CRISPR-Cas - Type II-C
AcrIIC9	CRISPR-Cas - Type II-C
AcrIII_1	CRISPR-Cas - Type Any utilising cA4 as a second messenger
AcrIIIB1	CRISPR-Cas - Type III-B
AcrIIIB2	CRISPR-Cas - Type III-B
AcrVA1	CRISPR-Cas - Type V-A
AcrVA2	CRISPR-Cas - Type V-A
AcrVA3	CRISPR-Cas - Type V-A, I-C
AcrVA4	CRISPR-Cas - Type V-A
AcrVA5	CRISPR-Cas - Type V-A
AcrVIA2_new	CRISPR-Cas - Type VI-A
AcrVIA1_Lwa	CRISPR-Cas - Type VI-A
AcrVIA2	CRISPR-Cas - Type VI-A
AcrVIA3	CRISPR-Cas - Type VI-A
AcrVIA4	CRISPR-Cas - Type VI-A
AcrVIA5	CRISPR-Cas - Type VI-A
