  family_id	sample_count	threshold_strict	threshold_moderate	threshold_loose
cluster_0	1175	0.2739	0.319	0.3935
cluster_182	489	0.3998	0.4568	0.5318
cluster_4	487	0.2573	0.3163	0.5591
cluster_5	240	0.1223	0.1805	0.3017
cluster_184	195	0.0593	0.0709	0.1598
cluster_10	195	0.3317	0.3928	0.4437
cluster_2	174	0.1433	0.2056	0.582
cluster_11	125	0.3715	0.4495	0.4495
cluster_75	113	0.1423	0.1569	0.243
cluster_186	100	0.1495	0.169	0.2276
cluster_132	98	0.1108	0.1322	0.194
cluster_18	87	0.2973	0.349	0.5417
cluster_6	86	0.1305	0.1623	0.2175
cluster_200	85	0.1573	0.1776	0.2633
cluster_195	80	0.1304	0.1608	0.2116
cluster_176	54	0.0589	0.0627	0.079
cluster_199	49	0.2385	0.2847	0.4682
cluster_102	46	0.3396	0.3892	0.4221
cluster_3	38	0.2096	0.2609	0.3956
cluster_128	31	0.1828	0.1913	0.2015
cluster_104	30	0.0583	0.0838	0.1605
cluster_124	26	0.3016	0.4558	0.4558
cluster_70	23	0.4044	0.4274	0.4281
cluster_89	17	0.2459	0.3548	0.5931
cluster_15	15	0.214	0.2522	0.3102
cluster_146	13	0.0777	0.0845	0.091
cluster_90	13	0.0637	0.0663	0.0675
cluster_78	13	0.5174	0.6284	0.6284
cluster_73	12	0.1125	0.1361	0.1567
cluster_33	12	0.1585	0.1939	0.2229
cluster_96	11	0.2999	0.3029	0.3053
cluster_22	8	0.1546	0.1975	0.2319
cluster_20	8	0.133	0.1374	0.141
cluster_163	8	0.2356	0.246	0.2543
cluster_36	7	0.1338	0.1377	0.1408
cluster_16	7	0.1285	0.1393	0.148
cluster_1	6	0.3336	0.35	0.3632
cluster_37	6	0.4473	0.5659	0.6608
cluster_131	6	0.3016	0.3079	0.3129
cluster_165	5	0.2453	0.2493	0.2525
