label	cluster_name	representative	count
0	cluster_0	A0A0D3LA01	1175
1	cluster_1	aca9	6
2	cluster_2	A0AA86YNB2	174
3	cluster_3	A0A0F6B0V6	38
4	cluster_4	A0A7V7X3B0	487
5	cluster_5	C7DIF0	240
6	cluster_6	A0A969KQV5	281
7	cluster_7	A0A1E7TTQ6	28
8	cluster_8	A0ABF7PQ39	39
9	cluster_9	AcrID1	3
10	cluster_10	A0A7C6YP57	130
11	cluster_11	E0N6C4	4
12	cluster_12	A0A2A2CGD2	33
13	cluster_13	ugi_3	2
14	cluster_14	acb1	15
15	cluster_15	AcrIIA2	7
16	cluster_16	dmd	2
17	cluster_17	A0A316L907	87
18	cluster_18	AcrF3	6
19	cluster_19	AcrIIA13	8
20	cluster_20	U2PMB8	5
21	cluster_21	A0A0X8VCV4	8
22	cluster_22	A0A3R0NDZ3	6
23	cluster_23	AcrIA3	1
24	cluster_24	had1	1
25	cluster_25	gp5_9	1
26	cluster_26	ral	1
27	cluster_27	AcrIB4	1
28	cluster_28	gad1	1
29	cluster_29	gnarl2	1
30	cluster_30	A0A461F3T8	3
31	cluster_31	orba	1
32	cluster_32	A0A1X1HY39	12
33	cluster_33	AcrIIA22	1
34	cluster_34	AcrIIA28	1
35	cluster_35	A0A076LMU3	7
36	cluster_36	AcrIE8	6
37	cluster_37	dsad1	1
38	cluster_38	AcrIF17	1
39	cluster_39	aca8	1
40	cluster_40	ipii	1
41	cluster_41	AcrIIA27	1
42	cluster_42	AcrIE4	1
43	cluster_43	ipi	1
44	cluster_44	A0A510JFC9	3
45	cluster_45	AcrIC9	1
46	cluster_46	adnd_p0021	1
47	cluster_47	AcrIIA15	1
48	cluster_48	AcrIF4	3
49	cluster_49	AcrIIA19	1
50	cluster_50	AcrIIIB1	2
51	cluster_51	AcrIIC6	1
52	cluster_52	AcrIC1	1
53	cluster_53	AcrIF1	1
54	cluster_54	dara	1
55	cluster_55	A0A5N3RXH4	4
56	cluster_56	AcrIF21	1
57	cluster_57	acb2	2
58	cluster_58	A0A3R9PEI6	4
59	cluster_59	AcrIB9	1
60	cluster_60	AcrIIA3	5
