query_id	true_label	candidate_label	candidate_family	target	proto_dist	proto_rank	proto_prob	proto_margin_to_top1	proto_margin_top2_minus_top1	hmm_score	hmm_neglog_evalue	hmm_coverage	hmm_bitscore	hmm_rank	hmm_margin_to_top1	hmm_margin_top1_minus_top2	hmm_has_hit	is_proto_top1	is_hmm_top1	proto_top1_eq_hmm_top1	family_count_proxy	judge_score
apyc1	0	0	cluster_0	1	0.001113236	1	0.03317305859330608	0.0	1.637342864	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999995623346946
apyc1	0	59	cluster_59	0	1.7044984	4	0.0060396912575119135	1.7033851640000002	1.637342864	0.0	0.0	0.0	0.0	60	0.0	0.0	0	0	0	0	1.0	3.768013201653743e-05
apyc1	0	60	cluster_60	0	1.6907116	3	0.006123535919668817	1.689598364	1.637342864	0.0	0.0	0.0	0.0	61	0.0	0.0	0	0	0	0	5.0	5.937357510275157e-05
apyc1	0	137	cluster_137	0	1.6384561	2	0.006452032479909805	1.637342864	1.637342864	0.0	0.0	0.0	0.0	138	0.0	0.0	0	0	0	0	1.0	9.653388933058389e-05
apyc1	0	159	cluster_159	0	1.7218343	5	0.005935890116570152	1.7207210640000001	1.637342864	0.0	0.0	0.0	0.0	160	0.0	0.0	0	0	0	0	2.0	1.873012859896122e-05
A0A061FDP0	0	0	cluster_0	1	0.0013599397	1	0.03326236035438905	0.0	1.6373305603000001	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999995685212067
A0A061FDP0	0	59	cluster_59	0	1.711664	4	0.006014194214073599	1.7103040603000002	1.6373305603000001	0.0	0.0	0.0	0.0	60	0.0	0.0	0	0	0	0	1.0	3.617318906978426e-05
A0A061FDP0	0	60	cluster_60	0	1.6971041	3	0.006102400862155296	1.6957441603	1.6373305603000001	0.0	0.0	0.0	0.0	61	0.0	0.0	0	0	0	0	5.0	5.726980788087269e-05
A0A061FDP0	0	137	cluster_137	0	1.6386905	2	0.0064694809274984996	1.6373305603000001	1.6373305603000001	0.0	0.0	0.0	0.0	138	0.0	0.0	0	0	0	0	1.0	9.675681223696495e-05
A0A061FDP0	0	159	cluster_159	0	1.7263131	5	0.005926733853445639	1.7249531603000001	1.6373305603000001	0.0	0.0	0.0	0.0	160	0.0	0.0	0	0	0	0	2.0	1.828319954872423e-05
A0A075HDM8	0	0	cluster_0	1	0.00079578155	1	0.03335311461886007	0.0	1.63815781845	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999995764695304
A0A075HDM8	0	59	cluster_59	0	1.715656	4	0.006003189680694389	1.7148602184500001	1.63815781845	0.0	0.0	0.0	0.0	60	0.0	0.0	0	0	0	0	1.0	3.538516148508011e-05
