query_id	true_label	candidate_label	candidate_family	target	proto_dist	proto_rank	proto_prob	proto_margin_to_top1	proto_margin_top2_minus_top1	hmm_score	hmm_neglog_evalue	hmm_coverage	hmm_bitscore	hmm_rank	hmm_margin_to_top1	hmm_margin_top1_minus_top2	hmm_has_hit	is_proto_top1	is_hmm_top1	proto_top1_eq_hmm_top1	family_count_proxy	judge_score
apyc1	0	0	cluster_0	1	0.029437242	1	0.031223841862035726	0.0	1.4421849580000001	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999987115358199
apyc1	0	49	cluster_49	0	1.6487247	5	0.006183562163266049	1.619287458	1.4421849580000001	0.0	0.0	0.0	0.0	50	0.0	0.0	0	0	0	0	1.0	0.00011730718864172184
apyc1	0	58	cluster_58	0	1.5991153	3	0.0064980615362860835	1.569678058	1.4421849580000001	0.0	0.0	0.0	0.0	59	0.0	0.0	0	0	0	0	4.0	0.00025672491966579627
apyc1	0	184	cluster_184	0	1.4716222	2	0.0073816486445695394	1.4421849580000001	1.4421849580000001	0.0	0.0	0.0	0.0	185	0.0	0.0	0	0	0	0	2.0	0.0006634720494217206
apyc1	0	199	cluster_199	0	1.6479319	4	0.006188466435145586	1.618494658	1.4421849580000001	0.0	0.0	0.0	0.0	200	0.0	0.0	0	0	0	0	1.0	0.0001334042820158447
A0A061FDP0	0	0	cluster_0	1	0.047547337	1	0.03161144180725721	0.0	1.4675605630000002	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999988543537495
A0A061FDP0	0	4	cluster_4	0	1.6547853	4	0.00633621238661431	1.607237963	1.4675605630000002	0.0	0.0	0.0	0.0	5	0.0	0.0	0	0	0	0	487.0	0.0003453917601544026
A0A061FDP0	0	58	cluster_58	0	1.6737269	5	0.006217323909647449	1.626179563	1.4675605630000002	0.0	0.0	0.0	0.0	59	0.0	0.0	0	0	0	0	4.0	0.00011960885009138926
A0A061FDP0	0	184	cluster_184	0	1.5151079	2	0.007286028240434675	1.4675605630000002	1.4675605630000002	0.0	0.0	0.0	0.0	185	0.0	0.0	0	0	0	0	2.0	0.000603023109823241
A0A061FDP0	0	199	cluster_199	0	1.5752342	3	0.006860856406647037	1.527686863	1.4675605630000002	0.0	0.0	0.0	0.0	200	0.0	0.0	0	0	0	0	1.0	0.0003198714915525576
A0A075HDM8	0	0	cluster_0	1	0.030359564	1	0.03215147617551274	0.0	1.503264036	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999991286841456
A0A075HDM8	0	4	cluster_4	0	1.6554849	4	0.006330207581387477	1.625125336	1.503264036	0.0	0.0	0.0	0.0	5	0.0	0.0	0	0	0	0	487.0	0.00037751450747198156
A0A075HDM8	0	58	cluster_58	0	1.65747	5	0.006317653950546382	1.627110436	1.503264036	0.0	0.0	0.0	0.0	59	0.0	0.0	0	0	0	0	4.0	0.0001453444244180123
A0A075HDM8	0	184	cluster_184	0	1.5336236	2	0.00715058612511426	1.503264036	1.503264036	0.0	0.0	0.0	0.0	185	0.0	0.0	0	0	0	0	2.0	0.0005879478756305501
A0A075HDM8	0	199	cluster_199	0	1.6007929	3	0.006686061784867015	1.570433336	1.503264036	0.0	0.0	0.0	0.0	200	0.0	0.0	0	0	0	0	1.0	0.000298692295318612
A0A075KJR3	0	0	cluster_0	1	0.036729872	1	0.030929183260526637	0.0	1.437882128	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999985972400609
A0A075KJR3	0	49	cluster_49	0	1.6678594	5	0.006053100694777961	1.631129528	1.437882128	0.0	0.0	0.0	0.0	50	0.0	0.0	0	0	0	0	1.0	0.00010416235391928636
A0A075KJR3	0	58	cluster_58	0	1.6017152	3	0.006467016360383849	1.564985328	1.437882128	0.0	0.0	0.0	0.0	59	0.0	0.0	0	0	0	0	4.0	0.00025258311581779537
A0A075KJR3	0	184	cluster_184	0	1.474612	2	0.007343518241829898	1.437882128	1.437882128	0.0	0.0	0.0	0.0	185	0.0	0.0	0	0	0	0	2.0	0.0006506772909068984
A0A075KJR3	0	199	cluster_199	0	1.655542	4	0.006128120231613072	1.618812128	1.437882128	0.0	0.0	0.0	0.0	200	0.0	0.0	0	0	0	0	1.0	0.0001272526335490362
A0A076H4T2	0	0	cluster_0	1	0.029103098	1	0.03194531451535738	0.0	1.479179902	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999990125588183
A0A076H4T2	0	20	cluster_20	0	1.6600902	5	0.006252856613773324	1.630987102	1.479179902	0.0	0.0	0.0	0.0	21	0.0	0.0	0	0	0	0	5.0	0.0001326802268345009
A0A076H4T2	0	58	cluster_58	0	1.6555908	4	0.006281054105147117	1.626487702	1.479179902	0.0	0.0	0.0	0.0	59	0.0	0.0	0	0	0	0	4.0	0.0001679232174257297
A0A076H4T2	0	184	cluster_184	0	1.508283	2	0.0072779237148986155	1.479179902	1.479179902	0.0	0.0	0.0	0.0	185	0.0	0.0	0	0	0	0	2.0	0.0006218311600552198
A0A076H4T2	0	199	cluster_199	0	1.595883	3	0.0066675042702599155	1.566779902	1.479179902	0.0	0.0	0.0	0.0	200	0.0	0.0	0	0	0	0	1.0	0.0002772332582165486
A0A076HTW2	0	0	cluster_0	1	0.03114277	1	0.03208331020223205	0.0	1.51246073	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999991478851475
A0A076HTW2	0	4	cluster_4	0	1.6387664	5	0.0064283142446704515	1.60762363	1.51246073	0.0	0.0	0.0	0.0	5	0.0	0.0	0	0	0	0	487.0	0.0003427540903932705
A0A076HTW2	0	184	cluster_184	0	1.5436035	2	0.007070104308874544	1.51246073	1.51246073	0.0	0.0	0.0	0.0	185	0.0	0.0	0	0	0	0	2.0	0.0005719825093157173
A0A076HTW2	0	189	cluster_189	0	1.6379328	4	0.006433675121527848	1.60679003	1.51246073	0.0	0.0	0.0	0.0	190	0.0	0.0	0	0	0	0	1.0	0.00019477514401015165
A0A076HTW2	0	199	cluster_199	0	1.5840764	3	0.006789669959426576	1.55293363	1.51246073	0.0	0.0	0.0	0.0	200	0.0	0.0	0	0	0	0	1.0	0.00034426990631085294
A0A077M123	0	0	cluster_0	1	0.01854998	1	0.0322323726711761	0.0	1.47793182	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999990797597615
A0A077M123	0	49	cluster_49	0	1.6374028	4	0.006386066387146629	1.61885282	1.47793182	0.0	0.0	0.0	0.0	50	0.0	0.0	0	0	0	0	1.0	0.00018231166673599714
A0A077M123	0	184	cluster_184	0	1.4964818	2	0.0073524933719070745	1.47793182	1.47793182	0.0	0.0	0.0	0.0	185	0.0	0.0	0	0	0	0	2.0	0.000647976408612842
A0A077M123	0	189	cluster_189	0	1.648624	5	0.006314807611204266	1.6300740200000001	1.47793182	0.0	0.0	0.0	0.0	190	0.0	0.0	0	0	0	0	1.0	0.00012045113336707371
A0A077M123	0	199	cluster_199	0	1.6167929	3	0.00651904824096414	1.5982429200000001	1.47793182	0.0	0.0	0.0	0.0	200	0.0	0.0	0	0	0	0	1.0	0.00023479802989363505
A0A085WQN3	0	0	cluster_0	1	0.041256726	1	0.03218255346333461	0.0	1.468524774	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999989797853436
A0A085WQN3	0	4	cluster_4	0	1.7076646	4	0.006080072460820309	1.666407874	1.468524774	0.0	0.0	0.0	0.0	5	0.0	0.0	0	0	0	0	487.0	0.00024821281124745847
A0A085WQN3	0	58	cluster_58	0	1.715682	5	0.006031520976277606	1.6744252739999999	1.468524774	0.0	0.0	0.0	0.0	59	0.0	0.0	0	0	0	0	4.0	9.204948093693376e-05
A0A085WQN3	0	184	cluster_184	0	1.5097815	2	0.007410513341804346	1.468524774	1.468524774	0.0	0.0	0.0	0.0	185	0.0	0.0	0	0	0	0	2.0	0.0006249908318861382
