query_id	true_label	candidate_label	candidate_family	target	proto_dist	proto_rank	proto_prob	proto_margin_to_top1	proto_margin_top2_minus_top1	hmm_score	hmm_neglog_evalue	hmm_coverage	hmm_bitscore	hmm_rank	hmm_margin_to_top1	hmm_margin_top1_minus_top2	hmm_has_hit	is_proto_top1	is_hmm_top1	proto_top1_eq_hmm_top1	family_count_proxy	judge_score
apyc1	0	0	cluster_0	1	0.04603362	1	0.033230199698810456	0.0	1.35968308	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999693788641381
apyc1	0	83	cluster_83	0	1.5747087	4	0.007205063278125634	1.52867508	1.35968308	0.0	0.0	0.0	0.0	84	0.0	0.0	0	0	0	0	1.0	2.2100564547171606e-05
apyc1	0	148	cluster_148	0	1.4057167	2	0.00853159227683889	1.35968308	1.35968308	0.0	0.0	0.0	0.0	149	0.0	0.0	0	0	0	0	1.0	0.0001403032197624301
apyc1	0	176	cluster_176	0	1.4711471	3	0.007991237364594714	1.42511348	1.35968308	0.0	0.0	0.0	0.0	177	0.0	0.0	0	0	0	0	3.0	6.565683056015717e-05
apyc1	0	198	cluster_198	0	1.5756758	5	0.0071980986297279165	1.52964218	1.35968308	0.0	0.0	0.0	0.0	199	0.0	0.0	0	0	0	0	1.0	1.681580565337021e-05
A0A061FDP0	0	0	cluster_0	1	0.07041735	1	0.03224005718081771	0.0	1.35026995	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999611559050021
A0A061FDP0	0	83	cluster_83	0	1.5098277	3	0.0076430698953610125	1.43941035	1.35026995	0.0	0.0	0.0	0.0	84	0.0	0.0	0	0	0	0	1.0	4.9488881452105314e-05
A0A061FDP0	0	148	cluster_148	0	1.4206873	2	0.008355664910572429	1.35026995	1.35026995	0.0	0.0	0.0	0.0	149	0.0	0.0	0	0	0	0	1.0	0.00013179618465192802
A0A061FDP0	0	176	cluster_176	0	1.530801	4	0.00748443882091617	1.46038365	1.35026995	0.0	0.0	0.0	0.0	177	0.0	0.0	0	0	0	0	3.0	3.25940263402711e-05
A0A061FDP0	0	198	cluster_198	0	1.5337423	5	0.007462457184153692	1.4633249499999998	1.35026995	0.0	0.0	0.0	0.0	199	0.0	0.0	0	0	0	0	1.0	2.2890163688929452e-05
A0A075HDM8	0	0	cluster_0	1	0.03581965	1	0.033990272497172555	0.0	1.42424825	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999771374480441
A0A075HDM8	0	83	cluster_83	0	1.4906255	5	0.00793488237781309	1.4548058499999998	1.42424825	0.0	0.0	0.0	0.0	84	0.0	0.0	0	0	0	0	1.0	3.081658519275728e-05
A0A075HDM8	0	148	cluster_148	0	1.4621929	3	0.008163729659403946	1.42637325	1.42424825	0.0	0.0	0.0	0.0	149	0.0	0.0	0	0	0	0	1.0	7.813812791926608e-05
A0A075HDM8	0	176	cluster_176	0	1.4600679	2	0.008181096030164111	1.42424825	1.42424825	0.0	0.0	0.0	0.0	177	0.0	0.0	0	0	0	0	3.0	0.00011470276646750326
A0A075HDM8	0	198	cluster_198	0	1.4867716	4	0.007965521623380635	1.4509519499999999	1.42424825	0.0	0.0	0.0	0.0	199	0.0	0.0	0	0	0	0	1.0	4.860818550853504e-05
A0A075KJR3	0	0	cluster_0	1	0.057825625	1	0.0326044358176317	0.0	1.360971175	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999653302110415
A0A075KJR3	0	83	cluster_83	0	1.5740182	4	0.007158180096099136	1.516192575	1.360971175	0.0	0.0	0.0	0.0	84	0.0	0.0	0	0	0	0	1.0	2.280371097381759e-05
A0A075KJR3	0	148	cluster_148	0	1.4187968	2	0.008360156710046217	1.360971175	1.360971175	0.0	0.0	0.0	0.0	149	0.0	0.0	0	0	0	0	1.0	0.00013197316756385322
A0A075KJR3	0	176	cluster_176	0	1.4271568	3	0.008290557131545119	1.369331175	1.360971175	0.0	0.0	0.0	0.0	177	0.0	0.0	0	0	0	0	3.0	8.99922088998697e-05
A0A075KJR3	0	198	cluster_198	0	1.575997	5	0.007144029494547549	1.518171375	1.360971175	0.0	0.0	0.0	0.0	199	0.0	0.0	0	0	0	0	1.0	1.7238463984084118e-05
A0A076H4T2	0	0	cluster_0	1	0.040635586	1	0.03384508666960974	0.0	1.4117823139999999	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999756351396409
A0A076H4T2	0	83	cluster_83	0	1.4735676	4	0.008075718348653362	1.432932014	1.4117823139999999	0.0	0.0	0.0	0.0	84	0.0	0.0	0	0	0	0	1.0	4.812109602581443e-05
A0A076H4T2	0	148	cluster_148	0	1.4692454	3	0.008110698760210385	1.4286098139999999	1.4117823139999999	0.0	0.0	0.0	0.0	149	0.0	0.0	0	0	0	0	1.0	7.34852007614989e-05
A0A076H4T2	0	176	cluster_176	0	1.4524179	2	0.008248336343990949	1.4117823139999999	1.4117823139999999	0.0	0.0	0.0	0.0	177	0.0	0.0	0	0	0	0	3.0	0.00011884099181386709
A0A076H4T2	0	198	cluster_198	0	1.4815623	5	0.008011412797474688	1.440926714	1.4117823139999999	0.0	0.0	0.0	0.0	199	0.0	0.0	0	0	0	0	1.0	3.495902188671258e-05
A0A076HTW2	0	0	cluster_0	1	0.037108663	1	0.03466417967692859	0.0	1.4421491370000001	0.0	0.0	0.0	0.0	1	0.0	0.0	0	1	0	0	1175.0	0.9999801516691541
A0A076HTW2	0	83	cluster_83	0	1.5163733	5	0.007896678522009436	1.479264637	1.4421491370000001	0.0	0.0	0.0	0.0	84	0.0	0.0	0	0	0	0	1.0	2.7927978475121777e-05
A0A076HTW2	0	148	cluster_148	0	1.5116522	4	0.007934047673320434	1.474543537	1.4421491370000001	0.0	0.0	0.0	0.0	149	0.0	0.0	0	0	0	0	1.0	4.275542364341865e-05
A0A076HTW2	0	176	cluster_176	0	1.4792578	2	0.008195274689657018	1.4421491370000001	1.4421491370000001	0.0	0.0	0.0	0.0	177	0.0	0.0	0	0	0	0	3.0	0.00010851908282212932
A0A076HTW2	0	198	cluster_198	0	1.5054032	3	0.00798378277270283	1.468294537	1.4421491370000001	0.0	0.0	0.0	0.0	199	0.0	0.0	0	0	0	0	1.0	6.541422865500173e-05
