cluster_name	representative	Gene3D	Pfam	FunFam	PANTHER	SMART	Hamap	NCBIfam	PRINTS	ProSiteProfiles	SUPERFAMILY	CDD	Coils	MobiDBLite	PIRSF	ProSitePatterns
Cluster_0	apyc1	G3DSA:3.60.15.10 [IPR036866: Ribonuclease Z/Hydroxyacylglutathione hydrolase-like];G3DSA:1.10.287.1700 [IPR053716: Flagellar assembly and chemotaxis effector]	PF23023: Anti-Pycsar protein Apyc1;PF12706: Beta-lactamase superfamily domain [IPR001279: Metallo-beta-lactamase];PF13483: Beta-lactamase superfamily domain;PF00753: Metallo-beta-lactamase superfamily [IPR001279: Metallo-beta-lactamase]	G3DSA:3.60.15.10:FF:000002: Ribonuclease Z;G3DSA:3.60.15.10:FF:000035: Phosphonate metabolism protein PhnP;G3DSA:3.60.15.10:FF:000087: MBL fold metallo-hydrolase;G3DSA:3.60.15.10:FF:000049: tRNase Z TRZ1;G3DSA:3.60.15.10:FF:000069: ElaC ribonuclease Z 1	PTHR46018: ZINC PHOSPHODIESTERASE ELAC PROTEIN 1;PTHR46504: TRNASE Z TRZ1;PTHR42663: HYDROLASE C777.06C-RELATED-RELATED;PTHR43546: UPF0173 METAL-DEPENDENT HYDROLASE MJ1163-RELATED [IPR050114: UPF0173/UPF0282/UlaG metal-dependent hydrolases];PTHR39189: UPF0173 METAL-DEPENDENT HYDROLASE YTKL;PTHR28283: 3',5'-CYCLIC-NUCLEOTIDE PHOSPHODIESTERASE 1 [IPR000396: Cyclic-AMP phosphodiesterase, class-II];PTHR12553: ZINC PHOSPHODIESTERASE ELAC PROTEIN 2 [IPR047151: Zinc phosphodiesterase ELAC protein 2-like]	SM00849: Lactamase_B_5a [IPR001279: Metallo-beta-lactamase]	MF_01818: Ribonuclease BN [rbn]. [IPR013471: Ribonuclease Z/BN];MF_00457: UPF0173 metal-dependent hydrolase <locus_tag>. [IPR022877: Protein of unknown funcion UPF0173];MF_00653: Coenzyme PQQ synthesis protein B [pqqB]. [IPR011842: Coenzyme PQQ biosynthesis protein B]	NF000801: ribonuclease Z;TIGR02651: ribonuclease Z [IPR013471: Ribonuclease Z/BN];NF001911: metal-dependent hydrolase [IPR022877: Protein of unknown funcion UPF0173];TIGR02650: ribonuclease Z, Thermotoga type [IPR013470: Ribonuclease Z, Thermotoga-type];TIGR03307: phosphonate metabolism protein PhnP [IPR017693: Phosphonate metabolism protein PhnP];TIGR02108: pyrroloquinoline quinone biosynthesis protein PqqB [IPR011842: Coenzyme PQQ biosynthesis protein B];NF041851: cyclic nucleotide-degrading phosphodiesterase [IPR054857: Cyclic nucleotide-degrading phosphodiesterase];NF000806: ribonuclease Z;NF000805: ribonuclease Z;NF000800: ribonuclease Z;NF002553: MBL fold metallo-hydrolase;TIGR02649: ribonuclease BN [IPR013469: Ribonuclease BN];NF038231: GPMC system MBL fold metallohydrolase;NF000804: ribonuclease Z	PR00388: 3'5'-cyclic nucleotide class II phosphodiesterase signature [IPR000396: Cyclic-AMP phosphodiesterase, class-II]	PS50042: cAMP/cGMP binding motif profile. [IPR000595: Cyclic nucleotide-binding domain];PS51257: Prokaryotic membrane lipoprotein lipid attachment site profile.	SSF56281: Metallo-hydrolase/oxidoreductase [IPR036866: Ribonuclease Z/Hydroxyacylglutathione hydrolase-like]	cd16272: RNaseZ_MBL-fold;cd07717: RNaseZ_ZiPD-like_MBL-fold [IPR013471: Ribonuclease Z/BN];cd07716: RNaseZ_short-form-like_MBL-fold;cd16279: metallo-hydrolase-like_MBL-fold;cd07740: metallo-hydrolase-like_MBL-fold;cd07736: PhnP-like_MBL-fold [IPR035682: Phosphonate metabolism protein, MBL domain];cd16274: PQQB-like_MBL-fold [IPR011842: Coenzyme PQQ biosynthesis protein B];cd07719: arylsulfatase_AtsA-like_MBL-fold [IPR044094: AtsA-like, MBL-fold];cd06262: metallo-hydrolase-like_MBL-fold;cd07735: class_II_PDE_MBL-fold [IPR000396: Cyclic-AMP phosphodiesterase, class-II];cd07741: metallo-hydrolase-like_MBL-fold;cd07715: TaR3-like_MBL-fold	Coil: Coil	mobidb-lite: consensus disorder prediction	-	-
Cluster_1	aca10	G3DSA:1.10.260.40 [IPR010982: Lambda repressor-like, DNA-binding domain superfamily]	PF01381: Helix-turn-helix [IPR001387: Cro/C1-type, helix-turn-helix domain]	-	-	-	-	-	-	PS50943: Cro/C1-type HTH domain profile. [IPR001387: Cro/C1-type, helix-turn-helix domain]	SSF47413: lambda repressor-like DNA-binding domains [IPR010982: Lambda repressor-like, DNA-binding domain superfamily]	cd00093: HTH_XRE [IPR001387: Cro/C1-type, helix-turn-helix domain]	-	-	-	-
Cluster_2	AcrIC11	G3DSA:3.30.70.3580: Antirestriction protein [IPR042297: Antirestriction domain superfamily]	PF03230: Antirestriction protein [IPR004914: Antirestriction protein]	-	-	-	-	-	-	-	-	-	-	mobidb-lite: consensus disorder prediction	-	-
Cluster_3	aca2	G3DSA:1.10.3100.10: Putative cytoplasmic protein [IPR027910: YdiL domain superfamily]	PF08965: Aca2/YdiL-like [IPR015060: Aca2/YdiL-like]	-	-	-	-	-	-	-	SSF47413: lambda repressor-like DNA-binding domains [IPR010982: Lambda repressor-like, DNA-binding domain superfamily]	cd00093: HTH_XRE [IPR001387: Cro/C1-type, helix-turn-helix domain]	Coil: Coil	-	-	-
Cluster_4	Prs_3	G3DSA:3.40.50.2020 [IPR029057: Phosphoribosyltransferase-like];G3DSA:3.40.30.10: Glutaredoxin [IPR036249: Thioredoxin-like superfamily];G3DSA:3.10.180.10 [IPR029068: Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase];G3DSA:3.40.50.620: HUPs [IPR014729: Rossmann-like alpha/beta/alpha sandwich fold]	PF13793: N-terminal domain of ribose phosphate pyrophosphokinase [IPR029099: Ribose-phosphate pyrophosphokinase, N-terminal domain];PF14572: Phosphoribosyl synthetase-associated domain [IPR005946: Ribose-phosphate pyrophosphokinase];PF00156: Phosphoribosyl transferase domain [IPR000836: Phosphoribosyltransferase domain]	G3DSA:3.40.50.2020:FF:000001: Ribose-phosphate pyrophosphokinase;G3DSA:3.40.50.2020:FF:000005: Ribose-phosphate pyrophosphokinase 1;G3DSA:3.40.50.2020:FF:000063: Phosphoribosylpyrophosphate synthetase;G3DSA:3.40.50.2020:FF:000002: Ribose-phosphate pyrophosphokinase;G3DSA:3.40.50.2020:FF:000007: Ribose-phosphate pyrophosphokinase;G3DSA:3.40.50.2020:FF:000014: Ribose-phosphate pyrophosphokinase 1;G3DSA:3.40.50.2020:FF:000055: Ribose-phosphate pyrophosphokinase;G3DSA:3.40.50.2020:FF:000074: Ribose-phosphate pyrophosphokinase;G3DSA:3.40.50.2020:FF:000024: Putative phosphoribosyl pyrophosphate synthase-associated protein 1;G3DSA:3.40.50.2020:FF:000011: Putative ribose-phosphate pyrophosphokinase 1;G3DSA:3.40.50.2020:FF:000031: Probable PRS4-ribose-phosphate pyrophosphokinase 3;G3DSA:3.40.50.2020:FF:000032: ribose-phosphate pyrophosphokinase 4;G3DSA:3.40.50.2020:FF:000034: Ribose-phosphate pyrophosphokinase 4;G3DSA:3.40.50.2020:FF:000012: Phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 1;G3DSA:3.40.50.2020:FF:000043: Ribose-phosphate pyrophosphokinase 1;G3DSA:3.40.50.2020:FF:000036: Uncharacterized protein, isoform B;G3DSA:3.40.50.2020:FF:000039: Ribose-phosphate pyrophosphokinase;G3DSA:3.40.50.2020:FF:000018: Phosphoribosyl pyrophosphate synthase-associated protein 2;G3DSA:3.40.50.2020:FF:000017: Ribose-phosphate pyrophosphokinase 1;G3DSA:3.40.50.2020:FF:000083: Ribose-phosphate pyrophosphokinase	PTHR10210: RIBOSE-PHOSPHATE DIPHOSPHOKINASE FAMILY MEMBER [IPR005946: Ribose-phosphate pyrophosphokinase]	SM01400: Pribosyltran_N_2	MF_00583_B: Putative ribose-phosphate pyrophosphokinase [prs]. [IPR037515: Ribose-phosphate pyrophosphokinase, bacterial-type];MF_00583_A: Putative ribose-phosphate pyrophosphokinase [prs]. [IPR037514: Ribose-phosphate pyrophosphokinase, archaea]	NF002320: ribose-phosphate diphosphokinase;TIGR01251: ribose-phosphate diphosphokinase [IPR005946: Ribose-phosphate pyrophosphokinase];NF002618: ribose-phosphate diphosphokinase;NF002844: ribose-phosphate diphosphokinase;NF002095: ribose-phosphate diphosphokinase;NF002686: ribose-phosphate diphosphokinase;NF005537: ribose-phosphate diphosphokinase;NF002758: ribose-phosphate pyrophosphokinase;NF003428: ribose-phosphate diphosphokinase	-	PS50006: Forkhead-associated (FHA) domain profile. [IPR000253: Forkhead-associated (FHA) domain]	SSF53271: PRTase-like [IPR029057: Phosphoribosyltransferase-like]	cd06223: PRTases_typeI [IPR000836: Phosphoribosyltransferase domain]	Coil: Coil	mobidb-lite: consensus disorder prediction	-	PS00114: Phosphoribosyl pyrophosphate synthase signature. [IPR000842: Phosphoribosyl pyrophosphate synthetase, conserved site]
Cluster_5	narp1_namat	G3DSA:3.20.20.70: Aldolase class I [IPR013785: Aldolase-type TIM barrel];G3DSA:3.20.140.10: nicotinate phosphoribosyltransferase	PF04095: Nicotinate phosphoribosyltransferase (NAPRTase) family [IPR041525: Nicotinate/nicotinamide phosphoribosyltransferase];PF18127: Nicotinamide phosphoribosyltransferase, N-terminal domain [IPR041529: Nicotinamide phosphoribosyltransferase, N-terminal domain];PF17767: Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain [IPR040727: Nicotinate phosphoribosyltransferase, N-terminal domain];PF17956: Nicotinate phosphoribosyltransferase C-terminal domain [IPR041619: Nicotinate phosphoribosyltransferase C-terminal domain];PF01729: Quinolinate phosphoribosyl transferase, C-terminal domain [IPR002638: Quinolinate phosphoribosyl transferase, C-terminal]	G3DSA:3.20.20.70:FF:000076: Nicotinate phosphoribosyltransferase;G3DSA:3.20.140.10:FF:000002: Nicotinate phosphoribosyltransferase;G3DSA:3.20.140.10:FF:000006: Nicotinate phosphoribosyltransferase;G3DSA:3.20.20.70:FF:000155: Nicotinate phosphoribosyltransferase;G3DSA:3.20.20.70:FF:000227: Nicotinate phosphoribosyltransferase;G3DSA:3.20.140.10:FF:000005: Nicotinate phosphoribosyltransferase;G3DSA:3.20.140.10:FF:000007: Nicotinate phosphoribosyltransferase;G3DSA:3.20.20.70:FF:000126: Nicotinate phosphoribosyltransferase;G3DSA:3.20.20.70:FF:000080: Nicotinamide phosphoribosyltransferase;G3DSA:3.20.20.70:FF:000113: Nicotinate phosphoribosyltransferase	PTHR43816: NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE [IPR016471: Nicotinamide phosphoribosyl transferase];PTHR11098: NICOTINATE PHOSPHORIBOSYLTRANSFERASE [IPR007229: Nicotinate phosphoribosyltransferase family]	-	-	NF006629: nicotinate phosphoribosyltransferase [IPR016471: Nicotinamide phosphoribosyl transferase];NF006698: nicotinate phosphoribosyltransferase;NF009131: nicotinate phosphoribosyltransferase;TIGR01513: nicotinate phosphoribosyltransferase [IPR006405: Nicotinate phosphoribosyltransferase pncB-type];NF006694: nicotinate phosphoribosyltransferase;NF006695: nicotinate phosphoribosyltransferase;NF006697: nicotinate phosphoribosyltransferase;NF006696: nicotinate phosphoribosyltransferase	-	-	SSF51690: Nicotinate/Quinolinate PRTase C-terminal domain-like [IPR036068: Nicotinate phosphoribosyltransferase-like, C-terminal];SSF54675: Nicotinate/Quinolinate PRTase N-terminal domain-like	cd01569: PBEF_like [IPR016471: Nicotinamide phosphoribosyl transferase];cd01570: NAPRTase_A	Coil: Coil	mobidb-lite: consensus disorder prediction	PIRSF005943: NMPRT [IPR016471: Nicotinamide phosphoribosyl transferase];PIRSF000484: NAPRT [IPR007229: Nicotinate phosphoribosyltransferase family]	PS00626: Regulator of chromosome condensation (RCC1) signature 2. [IPR000408: Regulator of chromosome condensation, RCC1]
Cluster_6	hia5	G3DSA:3.40.50.150: Vaccinia Virus protein VP39 [IPR029063: S-adenosyl-L-methionine-dependent methyltransferase superfamily];G3DSA:1.10.1020.10 [IPR023095: Adenine-specific methyltransferase, domain 2]	PF02086: D12 class N6 adenine-specific DNA methyltransferase [IPR012327: D12 class N6 adenine-specific DNA methyltransferase]	G3DSA:1.10.1020.10:FF:000001: Site-specific DNA-methyltransferase (adenine-specific);G3DSA:1.10.1020.10:FF:000003: Site-specific DNA-methyltransferase (adenine-specific)	PTHR30481: DNA ADENINE METHYLASE [IPR012327: D12 class N6 adenine-specific DNA methyltransferase]	-	-	TIGR00571: Dam family site-specific DNA-(adenine-N6)-methyltransferase [IPR012327: D12 class N6 adenine-specific DNA methyltransferase];NF008152: adenine-specific DNA-methyltransferase	PR00505: D12 class N6 adenine-specific DNA methyltransferase signature [IPR012327: D12 class N6 adenine-specific DNA methyltransferase]	-	SSF53335: S-adenosyl-L-methionine-dependent methyltransferases [IPR029063: S-adenosyl-L-methionine-dependent methyltransferase superfamily]	-	Coil: Coil	mobidb-lite: consensus disorder prediction	PIRSF000398: M_m6A_EcoRV [IPR012263: Adenine modification methylase, M.EcoRV-type]	PS00092: N-6 Adenine-specific DNA methylases signature. [IPR002052: DNA methylase, N-6 adenine-specific, conserved site];PS00018: EF-hand calcium-binding domain. [IPR018247: EF-Hand 1, calcium-binding site]
Cluster_7	narp2_nmnat	G3DSA:3.40.50.620: HUPs [IPR014729: Rossmann-like alpha/beta/alpha sandwich fold];G3DSA:3.90.79.10: Nucleoside Triphosphate Pyrophosphohydrolase	PF00293: NUDIX domain [IPR000086: NUDIX hydrolase domain];PF01467: Cytidylyltransferase-like [IPR004821: Cytidyltransferase-like domain]	-	PTHR43736: ADP-RIBOSE PYROPHOSPHATASE;PTHR21342: PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE	-	-	TIGR00125: cytidyltransferase-like domain [IPR004821: Cytidyltransferase-like domain];NF003785: bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase;NF003786: bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase;NF003788: bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase;NF003787: bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase;NF003791: bifunctional nicotinamide-nucleotide adenylyltransferase/Nudix hydroxylase	PR00502: NUDIX hydrolase family signature [IPR020476: NUDIX hydrolase]	PS51462: Nudix hydrolase domain profile. [IPR000086: NUDIX hydrolase domain]	SSF52374: Nucleotidylyl transferase;SSF55811: Nudix [IPR015797: NUDIX hydrolase-like domain superfamily]	cd18873: NUDIX_NadM_like;cd02168: NMNAT_Nudix [IPR041750: Bifunctional NMN adenylyltransferase/Nudix hydrolase-like, N-terminal NMNAT domain]	-	-	-	PS00893: Nudix box signature. [IPR020084: NUDIX hydrolase, conserved site]
Cluster_8	tad2	-	PF11195: Thoeris anti-defense 2-like domain [IPR021361: Thoeris anti-defense 2-like domain]	-	-	-	-	-	-	-	-	-	-	-	-	-
Cluster_9	AcrID1	G3DSA:3.30.160.300	PF07118: Protein of unknown function (DUF1374) [IPR009804: Sulfolobus islandicus filamentous virus, Orf14]	-	-	-	-	NF033952: AcrID1 family anti-CRISPR protein	-	-	-	cd22267: AcrID1	-	-	-	-
