label	cluster_name	representative	count
0	cluster_0	A0A950WXH5	1175
1	cluster_1	aca9	6
2	cluster_2	A0A7X2BTZ4	174
3	cluster_3	A0A1B9K1D4	38
4	cluster_4	A0A1J5M198	487
5	cluster_5	C7DIF0	240
6	cluster_6	A0A1V3L0J1	86
7	cluster_7	A0A9E0I5C2	28
8	cluster_8	A0A1R1C5B7	39
9	cluster_9	ORF14_SIFV	3
10	cluster_10	A0AAW7ZZ92	195
11	cluster_11	A0A7C6YP57	130
12	cluster_12	E0N6C4	4
13	cluster_13	A0A2T1F931	33
14	cluster_14	ugi	2
15	cluster_15	acb1	15
16	cluster_16	A0A7X0ZFI6	7
17	cluster_17	dmd	2
18	cluster_18	A0A1V5KB67	87
19	cluster_19	A0A231IL21	6
20	cluster_20	A0A3E0IKI8	8
21	cluster_21	U2PCT2	5
22	cluster_22	A0A0X8VCV4	8
23	cluster_23	A0A748ZIA1	6
24	cluster_24	AcrIA3	1
25	cluster_25	had1	1
26	cluster_26	gp5_9	1
27	cluster_27	ral	1
28	cluster_28	AcrIB4	1
29	cluster_29	gad1	1
30	cluster_30	gnarl2	1
31	cluster_31	AcrIB5	3
32	cluster_32	orba	1
33	cluster_33	A0AAW6DDJ2	12
34	cluster_34	AcrIIA22	1
35	cluster_35	AcrIIA28	1
36	cluster_36	A0A076LMU3	7
37	cluster_37	AcrIE8	6
38	cluster_38	dsad1	1
39	cluster_39	AcrIF17	1
40	cluster_40	aca8	1
41	cluster_41	ipii	1
42	cluster_42	AcrIIA27	1
43	cluster_43	AcrIE4	1
44	cluster_44	ipi	1
45	cluster_45	A0A510JFC9	3
46	cluster_46	AcrIC9	1
47	cluster_47	adnd_p0021	1
48	cluster_48	AcrIIA15	1
49	cluster_49	A0A9P1VZ35	3
50	cluster_50	AcrIIA19	1
51	cluster_51	A0A7J2VWC6	2
52	cluster_52	AcrIIC6	1
53	cluster_53	AcrIC1	1
54	cluster_54	AcrIF1	1
55	cluster_55	dara	1
56	cluster_56	A0A5N3RXH4	4
57	cluster_57	AcrIF21	1
58	cluster_58	abc2	2
59	cluster_59	A0A139P1M4	4
60	cluster_60	AcrIB9	1
61	cluster_61	Q92B53	5
62	cluster_62	acrx	1
63	cluster_63	AcrVIA6	1
64	cluster_64	AcrIF16	1
65	cluster_65	stp	1
66	cluster_66	AcrVIB1	1
67	cluster_67	A0AAP9Y5C1	6
68	cluster_68	AcrIF8	1
69	cluster_69	AcrIC5	1
70	cluster_70	A0A357IJB3	22
71	cluster_71	AcrIE5	1
72	cluster_72	nip	1
73	cluster_73	A0A2I0CTK9	12
74	cluster_74	aca11	1
75	cluster_75	A0A192THX4	113
76	cluster_76	AcrIIC4	1
77	cluster_77	AcrVIA1_Lse	2
78	cluster_78	A0A2A5MBJ2	11
79	cluster_79	A0A265B851	2
80	cluster_80	AcrIB7	1
81	cluster_81	AcrVIA4	1
82	cluster_82	Dap2	1
83	cluster_83	AcrIC3	1
84	cluster_84	vcrx091	1
85	cluster_85	A0AAC8T7M7	2
86	cluster_86	AcrIIIB2	1
87	cluster_87	gam	1
88	cluster_88	lar	1
89	cluster_89	A0A6W4RI05	17
90	cluster_90	A0A0K1UGF5	13
91	cluster_91	AcrIC10	1
92	cluster_92	A0A7X8WDR1	3
93	cluster_93	AcrIF20	1
94	cluster_94	samase	1
95	cluster_95	orf126	1
96	cluster_96	A0A1G7MHU2	11
97	cluster_97	AcrIIC3	3
98	cluster_98	A0A7X0W4Y2	5
99	cluster_99	gnarl1	1
100	cluster_100	AcrIIC7	1
101	cluster_101	atd1	1
102	cluster_102	A0A348VT33	40
103	cluster_103	AcrIB2	1
104	cluster_104	A0A3S3TU31	30
105	cluster_105	AcrIE4-IF7	1
106	cluster_106	AcrIIA34	1
107	cluster_107	AcrIF6	1
108	cluster_108	A0AAQ1G682	5
109	cluster_109	tifa	1
110	cluster_110	AcrIF23	1
111	cluster_111	gp4_5	1
112	cluster_112	AcrIF19	1
113	cluster_113	ocr	1
114	cluster_114	AcrIE7	1
115	cluster_115	A0A4B9HZ04	5
116	cluster_116	adfa	1
117	cluster_117	X8K7U9	3
118	cluster_118	AcrVA3	1
119	cluster_119	adnd_p0020	1
120	cluster_120	A0A6G8HY03	2
121	cluster_121	AcrIF25	1
122	cluster_122	gnarl3	1
123	cluster_123	AcrIF10	1
124	cluster_124	A0A315H611	27
125	cluster_125	AcrIF14	1
126	cluster_126	AcrIIA12	1
127	cluster_127	racc	5
128	cluster_128	A0A1T4MHW6	31
129	cluster_129	A0A061JKK5	3
130	cluster_130	AcrIF7	1
131	cluster_131	A0A942VZ71	6
132	cluster_132	A0A6L5YMI0	98
133	cluster_133	A0A5H1ZR47	2
134	cluster_134	A0A965UUE6	3
135	cluster_135	A0A3G2HWM1	5
136	cluster_136	AcrIIA30	1
137	cluster_137	AcrIF18	1
138	cluster_138	AcrIIA32	1
139	cluster_139	darb	1
140	cluster_140	aca4	1
141	cluster_141	A0A2T5PGF0	2
142	cluster_142	hdf	1
143	cluster_143	aca13	1
144	cluster_144	A0A1G0CSV7	5
145	cluster_145	vcrx092	1
146	cluster_146	A0A0H1WCG7	13
147	cluster_147	aca5	1
148	cluster_148	AcrIE3	1
149	cluster_149	AcrVIA2_new	1
150	cluster_150	AcrIIA33_Seq	1
151	cluster_151	A0ABF7SXL1	3
152	cluster_152	A0A7J2VWF6	3
153	cluster_153	alt	1
154	cluster_154	AcrIIA5	1
155	cluster_155	AcrVIA1_Lwa	1
156	cluster_156	AcrIF22	2
157	cluster_157	vcrx090	3
158	cluster_158	AcrIIA9	1
159	cluster_159	AcrVIA5	1
160	cluster_160	A0AAJ6LNT7	2
161	cluster_161	AcrIF13	1
162	cluster_162	AcrIIA14	1
163	cluster_163	gad2	8
164	cluster_164	Dap1	1
165	cluster_165	T0VF20	6
166	cluster_166	A0AAW7GDT7	5
167	cluster_167	AcrIIC5	1
168	cluster_168	AcrIIC8	1
