label	cluster_name	representative	Gene3D	Pfam	FunFam	PANTHER	SMART
0	cluster_0	apyc1	Ribonuclease Z/Hydroxyacylglutathione hydrolase-like; Flagellar assembly and chemotaxis effector	Anti-Pycsar protein Apyc1; Beta-lactamase superfamily domain; Metallo-beta-lactamase; Metallo-beta-lactamase superfamily	Phosphonate metabolism protein PhnP; Ribonuclease Z; ElaC ribonuclease Z 1	HYDROLASE C777.06C-RELATED-RELATED; ZINC PHOSPHODIESTERASE ELAC PROTEIN 1; TRNASE Z TRZ1; UPF0173 METAL-DEPENDENT HYDROLASE MJ1163-RELATED; UPF0173/UPF0282/UlaG metal-dependent hydrolases	Lactamase_B_5a; Metallo-beta-lactamase
1	cluster_1	aca10	Lambda repressor-like, DNA-binding domain superfamily	Helix-turn-helix; Cro/C1-type, helix-turn-helix domain			
2	cluster_2	AcrIC11	Antirestriction protein; Antirestriction domain superfamily	Antirestriction protein			
3	cluster_3	aca2	Putative cytoplasmic protein; YdiL domain superfamily	Aca2/YdiL-like			
4	cluster_4	Prs_3	Phosphoribosyltransferase-like; Glutaredoxin; Glyoxalase/Bleomycin resistance protein/Dihydroxybiphenyl dioxygenase; HUPs; Rossmann-like alpha/beta/alpha sandwich fold	Phosphoribosyl synthetase-associated domain; Ribose-phosphate pyrophosphokinase; N-terminal domain of ribose phosphate pyrophosphokinase; Ribose-phosphate pyrophosphokinase, N-terminal domain; Phosphoribosyl transferase domain; Phosphoribosyltransferase domain	Ribose-phosphate pyrophosphokinase; Phosphoribosyl pyrophosphate synthase-associated protein 2 isoform 1; Ribose-phosphate pyrophosphokinase 1; Probable PRS4-ribose-phosphate pyrophosphokinase 3	RIBOSE-PHOSPHATE DIPHOSPHOKINASE FAMILY MEMBER; Ribose-phosphate pyrophosphokinase	Pribosyltran_N_2
5	cluster_5	narp1_namat	Aldolase class I; Aldolase-type TIM barrel; nicotinate phosphoribosyltransferase	Nicotinate phosphoribosyltransferase (NAPRTase) family; Nicotinate/nicotinamide phosphoribosyltransferase; Nicotinamide phosphoribosyltransferase, N-terminal domain; Nicotinate phosphoribosyltransferase C-terminal domain; Nicotinate phosphoribosyltransferase (NAPRTase) N-terminal domain; Nicotinate phosphoribosyltransferase, N-terminal domain	Nicotinamide phosphoribosyltransferase; Nicotinate phosphoribosyltransferase	NICOTINAMIDE PHOSPHORIBOSYLTRANSFERASE; Nicotinamide phosphoribosyl transferase; NICOTINATE PHOSPHORIBOSYLTRANSFERASE; Nicotinate phosphoribosyltransferase family	
6	cluster_6	hia5					
7	cluster_7	narp2_nmnat	HUPs; Rossmann-like alpha/beta/alpha sandwich fold; Nucleoside Triphosphate Pyrophosphohydrolase	Cytidylyltransferase-like; Cytidyltransferase-like domain; NUDIX domain; NUDIX hydrolase domain		ADP-RIBOSE PYROPHOSPHATASE; PHOSPHOPANTETHEINE ADENYLYLTRANSFERASE	
8	cluster_8	tad2		Thoeris anti-defense 2-like domain			
9	cluster_9	AcrID1		Protein of unknown function (DUF1374); Sulfolobus islandicus filamentous virus, Orf14			
10	cluster_10	dam	Vaccinia Virus protein VP39; S-adenosyl-L-methionine-dependent methyltransferase superfamily; Adenine-specific methyltransferase, domain 2	D12 class N6 adenine-specific DNA methyltransferase	Site-specific DNA-methyltransferase (adenine-specific)	DNA ADENINE METHYLASE; D12 class N6 adenine-specific DNA methyltransferase	
11	cluster_11	AcrIII_1	Uncharacterised protein PF08960, DUF1874; STIV B116-like superfamily	STIV B116-like			
12	cluster_12	AcrIIC2					
13	cluster_13	ardu	Antirestriction protein ArdA, domain 3; Antirestriction protein ArdA, domain 1; Antirestriction protein ArdA, domain 2	Antirestriction protein (ArdA); Antirestriction	Antirestriction protein ArdA		
14	cluster_14	ugi	Bacteriophage PBS2, uracil-glycosylase inhibitor	Uracil-DNA glycosylase inhibitor			
15	cluster_15	acb1		Anti-CBASS protein Acb1; Anti-CBASS protein Acb1-like, C-terminal domain			
16	cluster_16	AcrIIA2					
17	cluster_17	dmd		Discriminator of mRNA degradation			
18	cluster_18	tad1		Acb2/Tad1, hairpin domain			
19	cluster_19	AcrIF3		Cas3 inhibitor AcrF3; Cas3 inhibitor AcrF3-like			
20	cluster_20	AcrIIA13b					
21	cluster_21	AcrVIA3					
22	cluster_22	AcrIIA8					
23	cluster_23	rad		Toprim-like			
24	cluster_24	AcrIA3					
25	cluster_25	had1		Hachiman anti-defense protein; Hachiman anti-defense 1			
26	cluster_26	gp5_9		Phage T7 gp5.9 RecBCD inhibitor; Gp5.9			
27	cluster_27	ral		Antirestriction protein Ral			
28	cluster_28	AcrIB4					
29	cluster_29	gad1		Gabija anti-defense 1			
30	cluster_30	gnarl2					
31	cluster_31	AcrIB5	Lambda repressor-like, DNA-binding domain superfamily				
32	cluster_32	orba					
33	cluster_33	aca12					
34	cluster_34	AcrIIA22					
35	cluster_35	AcrIIA28					
36	cluster_36	mom		Mom protein family; Mom			
37	cluster_37	AcrIE8					
38	cluster_38	dsad1		DSR anti-defense 1 family; DSR anti-defense 1			
39	cluster_39	AcrIF17					
40	cluster_40	aca8					
41	cluster_41	ipii		Phage T4 internal protein II; Internal protein II			
42	cluster_42	AcrIIA27					
43	cluster_43	AcrIE4		Anti-CRISPR protein F31			
44	cluster_44	ipi	Bacteriophage T4, IpI C-terminal domain superfamily	Nuclease inhibitor from bacteriophage T4; Bacteriophage T4, IpI	IpI internal head protein; IPI internal head protein		
45	cluster_45	AcrVIA7					
46	cluster_46	AcrIC9					
47	cluster_47	adnd_p0021					
